'5101','-1','G711A,G711U OTC'
'5101','0','G711A,G711U 20ms'
'5101','1','G711A,G711U,G729 20ms'
'5101','2','G711A,G711U,G729 30ms'
'5101','3','G711A,G711U,G729 20ms,Fax,Video'
'5101','4','G711A,G711U,G729 30ms,Fax,Video'
'5101','5','test'
