'5101','3404','file:///vxml/en_US/Indication/GENERALWELCOME.vxml','1','0','3','0','0','0','5','1','0','0','0','0','1','1'
'5101','3503','file:///vxml/ru_RU/Indication/WELCOME.vxml','1','0','3','0','0','0','5','1','0','0','0','0','1','1'
'5101','3504','file:///vxml/en_US/Indication/WELCOME.vxml','1','0','3','0','0','0','5','1','0','0','0','0','1','1'
'5101','3603','file:///vxml/ru_RU/Indication/DIALPIN.vxml','1','0','3','0','0','0','5','1','0','0','0','0','1','1'
'5101','3604','file:///vxml/en_US/Indication/DIALPIN.vxml','1','0','3','0','0','0','5','1','0','0','0','0','1','1'
'5101','3703','file:///vxml/ru_RU/Indication/WRONGPIN.vxml','1','0','3','0','0','0','5','1','0','0','0','0','1','1'
'5101','3704','file:///vxml/en_US/Indication/WRONGPIN.vxml','1','0','3','0','0','0','5','1','0','0','0','0','1','1'
'5101','3803','file:///vxml/ru_RU/Indication/OVERFLOWPINATT.vxml','1','0','3','0','0','0','5','1','0','0','0','0','1','1'
'5101','3804','file:///vxml/en_US/Indication/OVERFLOWPINATT.vxml','1','0','3','0','0','0','5','1','0','0','0','0','1','1'
'5101','3903','file:///vxml/ru_RU/Indication/DIALRMT.vxml','1','0','3','0','0','0','5','1','0','0','0','0','1','1'
'5101','3904','file:///vxml/en_US/Indication/DIALRMT.vxml','1','0','3','0','0','0','5','1','0','0','0','0','1','1'
'5101','4003','file:///vxml/ru_RU/Indication/OVERFLOWCALLATT.vxml','1','0','3','0','0','0','5','1','0','0','0','0','1','1'
'5101','4004','file:///vxml/en_US/Indication/OVERFLOWCALLATT.vxml','1','0','3','0','0','0','5','1','0','0','0','0','1','1'
'5101','4103','file:///vxml/ru_RU/Indication/CALLBACK1.vxml','1','0','3','0','0','0','5','1','0','0','0','0','1','1'
'5101','4104','file:///vxml/en_US/Indication/CALLBACK1.vxml','1','0','3','0','0','0','5','1','0','0','0','0','1','1'
'5101','4303','file:///vxml/ru_RU/Indication/CUSTCARECALL.vxml','1','0','3','0','0','0','5','1','0','0','0','0','1','1'
'5101','4304','file:///vxml/en_US/Indication/CUSTCARECALL.vxml','1','0','3','0','0','0','5','1','0','0','0','0','1','1'
'5101','4403','file:///vxml/ru_RU/Indication/WRONGACCSTATUS.vxml','1','0','3','0','0','0','5','1','0','0','0','0','1','1'
'5101','4404','file:///vxml/en_US/Indication/WRONGACCSTATUS.vxml','1','0','3','0','0','0','5','1','0','0','0','0','1','1'
'5101','4503','file:///vxml/ru_RU/Indication/USEDCARD.vxml','1','0','3','0','0','0','5','1','0','0','0','0','1','1'
'5101','4504','file:///vxml/en_US/Indication/USEDCARD.vxml','1','0','3','0','0','0','5','1','0','0','0','0','1','1'
'5101','4603','file:///vxml/ru_RU/Indication/UNKNOWNCARD.vxml','1','0','3','0','0','0','5','1','0','0','0','0','1','1'
'5101','4604','file:///vxml/en_US/Indication/UNKNOWNCARD.vxml','1','0','3','0','0','0','5','1','0','0','0','0','1','1'
'5101','4703','file:///vxml/ru_RU/Indication/UNSUCCLOAD.vxml','1','0','3','0','0','0','5','1','0','0','0','0','1','1'
'5101','4704','file:///vxml/en_US/Indication/UNSUCCLOAD.vxml','1','0','3','0','0','0','5','1','0','0','0','0','1','1'
'5101','4803','file:///vxml/ru_RU/Indication/OVERFLOWBALANCE .vxml','1','0','3','0','0','0','5','1','0','0','0','0','1','1'
'5101','4804','file:///vxml/en_US/Indication/OVERFLOWBALANCE.vxml','1','0','3','0','0','0','5','1','0','0','0','0','1','1'
'5101','4903','file:///vxml/ru_RU/Indication/ACCLOCKEDORIG.vxml','1','0','3','0','0','0','5','1','0','0','0','0','1','1'
'5101','4904','file:///vxml/en_US/Indication/ACCLOCKEDORIG.vxml','1','0','3','0','0','0','5','1','0','0','0','0','1','1'
'5101','5003','file:///vxml/ru_RU/Indication/ACCLOCKED.vxml','1','0','3','0','0','0','5','1','0','0','0','0','1','1'
