'5101','10','3','1',NULL,NULL,'1003'
'5101','10','4','1',NULL,NULL,'1004'
'5101','11','3','1',NULL,NULL,'1103'
'5101','11','4','1',NULL,NULL,'1104'
'5101','12','3','1',NULL,NULL,'1203'
'5101','12','4','1',NULL,NULL,'1204'
'5101','13','3','1',NULL,NULL,'1'
'5101','13','4','1',NULL,NULL,'1304'
'5101','14','3','1',NULL,NULL,'1403'
'5101','14','4','1',NULL,NULL,'1404'
'5101','15','3','1',NULL,NULL,'1503'
'5101','15','4','1',NULL,NULL,'1504'
'5101','16','3','1',NULL,NULL,'1603'
'5101','16','4','1',NULL,NULL,'1604'
'5101','19','3','1',NULL,NULL,'1903'
'5101','19','4','1',NULL,NULL,'1904'
'5101','20','3','1',NULL,NULL,'2003'
'5101','20','4','1',NULL,NULL,'2004'
'5101','22','3','1',NULL,NULL,'2203'
'5101','22','4','1',NULL,NULL,'2204'
'5101','24','3','1',NULL,NULL,'2403'
'5101','24','4','1',NULL,NULL,'2404'
'5101','25','3','1',NULL,NULL,'2503'
'5101','25','4','1',NULL,NULL,'2504'
'5101','28','3','1',NULL,NULL,'2803'
'5101','28','4','1',NULL,NULL,'2804'
'5101','29','3','1',NULL,NULL,'2903'
'5101','29','4','1',NULL,NULL,'2904'
'5101','30','3','1',NULL,NULL,'3003'
'5101','30','4','1',NULL,NULL,'3004'
'5101','31','3','1',NULL,NULL,'3103'
'5101','31','4','1',NULL,NULL,'3104'
'5101','34','3','1',NULL,NULL,'3403'
'5101','34','4','1',NULL,NULL,'3404'
'5101','35','3','1',NULL,NULL,'3503'
'5101','35','4','1',NULL,NULL,'3504'
'5101','36','3','1',NULL,NULL,'3603'
'5101','36','4','1',NULL,NULL,'3604'
'5101','37','3','1',NULL,NULL,'3703'
'5101','37','4','1',NULL,NULL,'3704'
'5101','38','3','1',NULL,NULL,'3803'
'5101','38','4','1',NULL,NULL,'3804'
'5101','39','3','1',NULL,NULL,'3903'
'5101','39','4','1',NULL,NULL,'3904'
'5101','40','3','1',NULL,NULL,'4003'
'5101','40','4','1',NULL,NULL,'4004'
'5101','41','3','1',NULL,NULL,'4103'
'5101','41','4','1',NULL,NULL,'4104'
'5101','43','3','1',NULL,NULL,'4303'
'5101','43','4','1',NULL,NULL,'4304'
'5101','44','3','1',NULL,NULL,'4403'
'5101','44','4','1',NULL,NULL,'4404'
'5101','45','3','1',NULL,NULL,'4503'
'5101','45','4','1',NULL,NULL,'4504'
'5101','46','3','1',NULL,NULL,'4603'
'5101','46','4','1',NULL,NULL,'4604'
'5101','47','3','1',NULL,NULL,'4703'
