'5101','0','0','0','4'
'5101','1','17','2','1'
'5101','2','16','2','1'
'5101','3','5','1','0'
'5101','4','19','1','0'
'5101','5','7','1','0'
'5101','6','9','1','0'
'5101','7','7','1','0'
