'5101','-1','0','0','2','8','2','0','*#*','#','#','1','0','3','10','10','200','0','0','20','0','6','-1','0','0','0','1','0','0','0'
'5101','1','0','1','4','8','1','0','**','#','#','0','1','3','10','10','200','500','100','20','0','7','1','0','0','0','1','0','0','0'
'5101','2','0','0','0','8','1','0','**','#','#','0','1','3','10','10','200','500','100','20','0','7','1','0','0','0','1','0','0','0'
