'5101','1','0',NULL,'1','154','0'
'5101','2','0',NULL,'1','156','0'
'5101','3','0',NULL,'1','158','0'
'5101','4','0',NULL,'1','160','0'
'5101','5','0',NULL,'1','162','0'
'5101','6','0',NULL,'1','166','1'
'5101','7','0',NULL,'1','168','0'
'5101','9','0',NULL,'1','153','0'
'5101','10','0',NULL,'1','155','0'
'5101','11','0',NULL,'1','223','0'
'5101','12','1',NULL,'1','166','0'
'5101','13','0',NULL,'1','241','0'
'5101','14','0',NULL,'1','161','0'
'5101','15','0',NULL,'1','242','0'
'5101','16','0',NULL,'1','243','0'
'5101','21','0',NULL,'1','324','0'
'5101','22','0',NULL,'1','164','0'
'5101','23','0',NULL,'1','157','0'
'5101','24','0',NULL,'1','159','0'
'5101','25','0',NULL,'1','336','0'
'5101','26','0',NULL,'1','337','0'
'5101','27','0',NULL,'1','338','0'
'5101','28','0',NULL,'1','339','0'
'5101','29','0',NULL,'1','348','0'
'5101','30','0',NULL,'1','361','0'
'5101','31','0',NULL,'1','362','0'
'5101','32','0',NULL,'1','363','0'
'5101','33','0',NULL,'1','364','0'
'5101','34','0',NULL,'1','365','0'
