'5101','0','0','0'
'5101','1','1','1'
'5101','1','2','2'
'5101','1','3','3'
'5101','3','1','4'
'5101','3','2','5'
'5101','3','3','6'
'5101','2','1','7'
'5101','2','2','8'
'5101','2','3','9'
'5101','4','4','10'
'5101','5','4','11'
'5101','4','6','12'
'5101','4','7','13'
'5101','6','1','14'
'5101','6','2','15'
'5101','6','3','16'
'5101','7','1','17'
'5101','7','2','18'
'5101','7','3','19'
