'25400','0','0','0','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0'
'25400','0','1','0','3','4','0','0','0','0','0','0','0','5','0','0','0','0','0','0','1','0','0','0','0','0','0','0'
'25400','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0'
'25400','0','3','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0'
'25400','0','4','0','2','8','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','2','2','0','0','0','0','0'
'25400','1','0','0','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0'
'25400','1','1','0','3','4','0','0','0','0','0','0','0','5','0','0','0','0','0','0','1','0','0','0','0','0','0','0'
'25400','1','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0'
'25400','1','3','0','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0'
'25400','1','4','0','0','8','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0'
'25400','2','0','0','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0'
'25400','2','1','0','3','4','0','0','0','0','0','0','0','5','0','0','0','0','0','0','1','0','0','0','0','0','0','0'
'25400','2','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0'
'25400','2','3','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0'
'25400','2','4','0','2','8','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','2','2','0','0','0','0','0'
'25400','3','0','0','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0'
'25400','3','1','0','3','4','0','0','0','0','0','0','0','5','0','0','0','0','0','0','1','0','0','0','0','0','0','0'
'25400','3','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0'
'25400','3','3','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0'
'25400','3','4','0','2','8','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','2','2','0','0','0','0','0'
'25400','4','0','0','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0'
'25400','4','1','0','3','4','0','0','0','0','0','0','0','5','0','0','0','0','0','0','1','0','0','0','0','0','0','0'
'25400','4','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0'
'25400','4','3','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0'
'25400','4','4','0','2','8','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','2','2','0','0','0','0','0'
'25400','5','0','0','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0'
'25400','5','1','0','3','4','0','0','0','0','0','0','0','5','0','0','0','0','0','0','1','0','0','0','0','0','0','0'
'25400','5','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0'
'25400','5','3','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0'
'25400','5','4','0','2','8','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','2','2','0','0','0','0','0'
'25400','6','0','0','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0'
'25400','6','1','0','3','4','0','0','0','0','0','0','0','5','0','0','0','0','0','0','1','0','0','0','0','0','0','0'
'25400','6','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0'
'25400','6','3','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0'
'25400','6','4','0','2','8','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','2','2','0','0','0','0','0'
