'25400','10','3','1',NULL,NULL,'1003'
'25400','10','4','1',NULL,NULL,'1004'
'25400','11','3','1',NULL,NULL,'1103'
'25400','11','4','1',NULL,NULL,'1104'
'25400','12','3','1',NULL,NULL,'1203'
'25400','12','4','1',NULL,NULL,'1204'
'25400','13','3','1',NULL,NULL,'1303'
'25400','13','4','1',NULL,NULL,'1304'
'25400','14','3','1',NULL,NULL,'1403'
'25400','14','4','1',NULL,NULL,'1404'
'25400','15','3','1',NULL,NULL,'1503'
'25400','15','4','1',NULL,NULL,'1504'
'25400','16','3','1',NULL,NULL,'1603'
'25400','16','4','1',NULL,NULL,'1604'
'25400','19','3','1',NULL,NULL,'1903'
'25400','19','4','1',NULL,NULL,'1904'
'25400','20','3','1',NULL,NULL,'2003'
'25400','20','4','1',NULL,NULL,'2004'
'25400','22','3','1',NULL,NULL,'2203'
'25400','22','4','1',NULL,NULL,'2204'
'25400','24','3','1',NULL,NULL,'2403'
'25400','24','4','1',NULL,NULL,'2404'
'25400','25','3','1',NULL,NULL,'2503'
'25400','25','4','1',NULL,NULL,'2504'
'25400','28','3','1',NULL,NULL,'2803'
'25400','28','4','1',NULL,NULL,'2804'
'25400','29','3','1',NULL,NULL,'2903'
'25400','29','4','1',NULL,NULL,'2904'
'25400','30','3','1',NULL,NULL,'3003'
'25400','30','4','1',NULL,NULL,'3004'
'25400','31','3','1',NULL,NULL,'3103'
'25400','31','4','1',NULL,NULL,'3104'
'25400','34','3','1',NULL,NULL,'3403'
'25400','34','4','1',NULL,NULL,'3404'
'25400','35','3','1',NULL,NULL,'3503'
'25400','35','4','1',NULL,NULL,'3504'
'25400','36','3','1',NULL,NULL,'3603'
'25400','36','4','1',NULL,NULL,'3604'
'25400','37','3','1',NULL,NULL,'3703'
'25400','37','4','1',NULL,NULL,'3704'
'25400','38','3','1',NULL,NULL,'3803'
'25400','38','4','1',NULL,NULL,'3804'
'25400','39','3','1',NULL,NULL,'3903'
'25400','39','4','1',NULL,NULL,'3904'
'25400','40','3','1',NULL,NULL,'4003'
'25400','40','4','1',NULL,NULL,'4004'
'25400','41','3','1',NULL,NULL,'4103'
'25400','41','4','1',NULL,NULL,'4104'
'25400','43','3','1',NULL,NULL,'4303'
'25400','43','4','1',NULL,NULL,'4304'
'25400','44','3','1',NULL,NULL,'4403'
'25400','44','4','1',NULL,NULL,'4404'
'25400','45','3','1',NULL,NULL,'4503'
'25400','45','4','1',NULL,NULL,'4504'
'25400','46','3','1',NULL,NULL,'4603'
'25400','46','4','1',NULL,NULL,'4604'
'25400','47','3','1',NULL,NULL,'4703'
'25400','47','4','1',NULL,NULL,'4704'
'25400','48','3','1',NULL,NULL,'4803'
'25400','48','4','1',NULL,NULL,'4804'
'25400','49','3','1',NULL,NULL,'4903'
'25400','49','4','1',NULL,NULL,'4904'
