'25400','0','0','0','4'
'25400','1','7','1','0'
'25400','2','7','1','0'
'25400','3','17','1','1'
'25400','4','17','1','1'
'25400','5','17','1','1'
'25400','6','17','1','1'
'25400','7','7','1','0'
'25400','8','10','1','0'
'25400','9','20','1','0'
'25400','10','7','1','0'
'25400','11','7','1','0'
'25400','12','7','1','0'
'25400','13','9','1','0'
'25400','14','19','1','0'
'25400','15','9','1','0'
'25400','16','19','1','0'
