'25400','93',NULL,NULL,NULL,NULL,NULL,'02',NULL,NULL
'25400','94',NULL,NULL,NULL,NULL,NULL,'02',NULL,NULL
'25400','95',NULL,NULL,NULL,NULL,NULL,'09',NULL,NULL
'25400','96',NULL,NULL,NULL,NULL,NULL,'07',NULL,NULL
'25400','97',NULL,NULL,NULL,NULL,NULL,'10',NULL,NULL
'25400','98',NULL,NULL,NULL,NULL,NULL,'02',NULL,NULL
'25400','99',NULL,NULL,NULL,NULL,NULL,'02',NULL,NULL
'25400','100',NULL,NULL,NULL,NULL,NULL,'02',NULL,NULL
'25400','101',NULL,NULL,NULL,NULL,NULL,'02',NULL,NULL
'25400','102',NULL,NULL,NULL,NULL,NULL,'09',NULL,NULL
'25400','103',NULL,NULL,NULL,NULL,NULL,'07',NULL,NULL
'25400','104',NULL,NULL,NULL,NULL,NULL,'10',NULL,NULL
'25400','105',NULL,NULL,NULL,NULL,NULL,'02',NULL,NULL
'25400','106',NULL,NULL,NULL,NULL,NULL,'02',NULL,NULL
'25400','107',NULL,NULL,NULL,NULL,NULL,'02',NULL,NULL
'25400','108',NULL,NULL,NULL,NULL,NULL,'02',NULL,NULL
'25400','109',NULL,NULL,NULL,NULL,NULL,'09',NULL,NULL
'25400','110',NULL,NULL,NULL,NULL,NULL,'07',NULL,NULL
'25400','111',NULL,NULL,NULL,NULL,NULL,'10',NULL,NULL
'25400','112',NULL,NULL,NULL,NULL,NULL,'02',NULL,NULL
'25400','113',NULL,NULL,NULL,NULL,NULL,'02',NULL,NULL
