'14609','0','0','65599','65599'
'14609','0','2','65539','65539'
'14609','0','6','65539','65539'
'14609','0','9','67583','67583'
'14609','0','22','-557061','-557061'
'14609','0','26','4194303','4194303'
'14609','0','27','65551','65551'
'14609','0','28','4194303','4194303'
'14609','0','29','65551','65551'
'14609','0','33','2097151','2097151'
'14609','0','35','65599','65599'
'14609','0','37','65551','65551'
'14609','0','44','65541','65541'
'14609','0','49','65551','65551'
'14609','0','50','65551','65551'
'14609','0','63','65567','65567'
'14609','0','69','65599','65599'
'14609','0','120','65599','65599'
'14609','0','152','65543','65543'
'14609','0','173','65599','65599'
'14609','0','179','65599','65599'
'14609','0','329','66559','66559'
'14609','0','331','65551','65551'
'14609','0','332','65551','65551'
'14609','0','333','65551','65551'
'14609','0','334','65551','65551'
'14609','0','341','65551','65551'
'14609','0','342','67583','67583'
'14609','0','354','65599','65599'
'14609','0','416','67583','67583'
'14609','0','417','67583','67583'
'14609','0','418','65567','65567'
'14609','0','419','65551','65551'
'14609','0','420','65567','65567'
'14609','0','431','65551','65551'
'14609','0','432','131071','131071'
'14609','0','448','65551','65551'
'14609','0','449','65551','65551'
'14609','0','452','65551','65551'
'14609','0','456','65599','65599'
'14609','0','473','65663','65663'
'14609','0','494','4194303','4194303'
'14609','0','496','65551','65551'
'14609','0','499','-5','-5'
'14609','0','843','-225','-225'
'14609','0','845','-581','-581'
'14609','0','929','-131077','-131077'
'14609','0','970','65567','65567'
