'14609','0','1','1','0','0','0'
'14609','0','1','2','0','0','0'
'14609','0','3','3','1','8','0'
'14609','0','4','4','1','10','0'
'14609','0','5','5','1','12','0'
'14609','0','6','6','1','16','0'
'14609','0','11','10','1','26','0'
'14609','0','12','11','1','28','0'
'14609','1','1','1','0','0','0'
'14609','1','1','2','0','0','0'
'14609','1','3','3','1','8','0'
'14609','1','4','4','1','11','0'
'14609','2','1','1','0','0','0'
'14609','2','1','2','0','0','0'
'14609','2','2','2','1','25','0'
'14609','2','3','3','1','8','0'
'14609','2','4','4','1','10','0'
'14609','3','1','1','0','0','0'
'14609','3','1','2','0','0','0'
'14609','3','2','2','1','25','0'
'14609','3','3','3','1','8','0'
'14609','3','4','4','1','11','0'
'14609','4','1','1','0','0','0'
'14609','4','1','2','0','0','0'
'14609','4','3','3','1','8','0'
'14609','4','4','4','1','10','0'
'14609','4','5','5','1','12','0'
'14609','4','6','6','1','16','0'
'14609','4','8','7','1','22','0'
'14609','5','1','1','0','0','0'
'14609','5','1','2','0','0','0'
'14609','5','1','8','1','24','0'
'14609','5','3','3','1','8','0'
'14609','5','4','4','1','10','0'
'14609','5','5','5','1','12','0'
'14609','5','6','6','1','16','0'
'14609','5','9','1','1','24','0'
'14609','5','9','2','1','24','0'
'14609','5','10','9','0','0','0'
'14609','5','11','10','1','26','0'
