'14609','1','-1','-1',NULL,'-1','10','10',NULL
'14609','1','0','-1','.','2','11','11',NULL
'14609','1','2','-1','.','2','11','11',NULL
'14609','1','4','-1','.','2','11','11',NULL
'14609','2','-1','-1',NULL,'-1','13','13',NULL
'14609','2','0','-1','..','1','13','13',NULL
'14609','2','1','-1','..','1','13','13',NULL
'14609','2','2','-1','..','1','13','13',NULL
'14609','2','4','-1','..','1','13','13',NULL
'14609','6','-1','-1',NULL,'-1','3','3',NULL
'14609','6','0','-1','.+0','4','3','3',NULL
'14609','6','2','-1','.+0','4','3','3',NULL
'14609','6','4','-1','.+0','4','3','3',NULL
'14609','7','-1','-1',NULL,'-1','6','6',NULL
'14609','7','0','-1','+83652','0','6','6',NULL
'14609','7','0','1','+83652','0','6','6',NULL
'14609','7','4','-1','+83652','0','6','6',NULL
'14609','7','4','1','+83652','0','6','6',NULL
'14609','8','-1','-1',NULL,'-1','3','3',NULL
'14609','8','0','-1','.....','4','3','3',NULL
'14609','8','4','-1','.....','4','3','3',NULL
'14609','9','-1','-1',NULL,'-1','6','6',NULL
'14609','9','0','-1','.','2','6','6',NULL
'14609','9','4','-1','.','2','6','6',NULL
'14609','10','-1','-1',NULL,'-1','10','10',NULL
'14609','10','0','-1','.','2','10','10',NULL
'14609','10','2','-1','.','2','10','10',NULL
'14609','10','4','-1','.','2','10','10',NULL
'14609','11','-1','-1',NULL,'-1','6','6',NULL
'14609','11','0','-1','X','4','6','6',NULL
'14609','11','4','-1','X','4','6','6',NULL
'14609','12','-1','-1',NULL,'-1','6','6',NULL
'14609','12','0','-1','.','4','6','6',NULL
'14609','12','4','-1','.','4','6','6',NULL
'14609','13','-1','-1',NULL,'-1','11','11',NULL
'14609','13','0','-1','X','4','11','11',NULL
'14609','13','4','-1','X','4','11','11',NULL
'14609','14','-1','-1',NULL,'-1','11','11',NULL
'14609','14','0','-1','.','4','11','11',NULL
'14609','14','4','-1','.','4','11','11',NULL
'14609','15','-1','-1',NULL,'-1','3','3',NULL
'14609','15','0','-1','......','4','3','3',NULL
'14609','15','4','-1','......','4','3','3',NULL
'14609','16','-1','-1',NULL,'-1','3','3',NULL
'14609','16','0','-1','.....','4','3','3',NULL
'14609','16','0','1','.....','4','3','3',NULL
'14609','16','4','-1','.....','4','3','3',NULL
'14609','16','4','1','.....','-1','3','3',NULL
'14609','17','-1','-1',NULL,'-1','3','3',NULL
'14609','17','0','-1','.','2','3','3',NULL
'14609','17','4','-1','.','2','3','3',NULL
'14609','18','-1','-1',NULL,'-1','3','3',NULL
'14609','18','0','-1','......','4','3','3',NULL
'14609','18','4','-1','......','4','3','3',NULL
'14609','25','-1','-1',NULL,'-1','6','6',NULL
'14609','25','4','-1','.+7','2','6','6',NULL
'14609','26','-1','-1',NULL,'-1','6','6',NULL
'14609','26','0','-1','+73652','2','6','6',NULL
'14609','26','4','-1','+73652','2','6','6',NULL
'14609','28','-1','-1',NULL,'-1','10','10',NULL
'14609','28','0','-1','.','2','10','10',NULL
'14609','28','4','-1','.','2','10','10',NULL
'14609','30','-1','-1',NULL,'-1','3','3',NULL
'14609','30','0','-1','......','4','3','3',NULL
