'14609','1','6','1','1','0','1'
'14609','2','222','222','2','0','1'
'14609','3','6','2','1','0','1'
'14609','4','3','3','3','0','1'
'14609','5','221','221','2','0','1'
'14609','6','2','17','2','0','1'
'14609','7','2','9','2','0','1'
'14609','8','2','10','2','0','1'
'14609','9','262','262','4','0','1'
'14609','10','245','245','1','0','1'
'14609','11','241','241','1','0','1'
'14609','12','251','251','1','0','1'
'14609','13','243','243','1','0','1'
'14609','14','246','246','1','0','1'
'14609','15','263','263','5','0','1'
'14609','16','258','258','6','0','1'
'14609','17','265','265','7','0','1'
'14609','18','260','260','8','0','1'
'14609','19','100','100','1','0','1'
'14609','20','261','261','9','0','1'
'14609','21','24','24','10','0','1'
'14609','22','266','266','2','0','1'
'14609','23','254','254','12','0','1'
'14609','24','264','264','13','0','1'
'14609','25','23','23','1','0','1'
'14609','26','220','220','2','0','1'
