'14609','1','0',NULL,'1','154','0'
'14609','2','0',NULL,'1','156','0'
'14609','3','0',NULL,'1','158','0'
'14609','4','0',NULL,'1','160','0'
'14609','5','0',NULL,'1','162','0'
'14609','6','0',NULL,'1','166','0'
'14609','7','0',NULL,'1','168','0'
'14609','9','0',NULL,'1','153','0'
'14609','10','0',NULL,'1','155','0'
'14609','11','0',NULL,'1','223','0'
'14609','13','0',NULL,'1','241','0'
'14609','14','0',NULL,'1','161','0'
'14609','15','0',NULL,'1','242','0'
'14609','16','0',NULL,'1','243','0'
'14609','21','0',NULL,'1','324','0'
'14609','22','0',NULL,'1','164','0'
'14609','23','0',NULL,'1','157','0'
'14609','24','0',NULL,'1','159','0'
'14609','25','0',NULL,'1','336','0'
'14609','26','0',NULL,'1','337','0'
'14609','27','0',NULL,'1','338','0'
'14609','28','0',NULL,'1','339','0'
'14609','29','0',NULL,'1','348','0'
'14609','30','0',NULL,'1','361','0'
'14609','31','0',NULL,'1','362','0'
'14609','32','0',NULL,'1','363','0'
'14609','33','0',NULL,'1','364','0'
'14609','34','0',NULL,'1','365','0'
