'14609','1','1','10.65.22.16','0','0'
'14609','2','1','10.65.22.26','0','0'
'14609','3','1','10.65.22.26','0','0'
'14609','4','1',NULL,'0','0'
'14609','5','1','10.65.69.16','0','0'
'14609','6','1','10.65.22.16','0','0'
'14609','8','1','10.65.62.16','0','0'
'14609','9','1','10.65.63.16','0','0'
'14609','10','1','10.65.58.16','0','0'
'14609','11','1','10.65.65.16','0','0'
'14609','12','1','10.65.60.16','0','0'
'14609','13','1','10.65.61.16','0','0'
'14609','14','1','10.65.24.16','0','0'
'14609','15','1','10.65.62.16','0','0'
'14609','16','1','10.65.54.16','0','0'
'14609','17','1','10.65.64.16','0','0'
'14609','18','1','10.65.56.16','0','0'
'14609','19','1','10.65.22.26','0','0'
'14609','21','1','10.65.22.16','0','0'
'14609','41','1','10.65.22.26','0','0'
'14609','42','1','10.65.22.26','0','0'
'14609','43','1','10.65.22.26','0','0'
'14609','44','1','10.65.54.16','0','0'
'14609','45','1','10.65.22.16','0','0'
'14609','46','1','10.65.22.16','0','0'
'14609','50','1','10.65.66.16','0','0'
'14609','18192','1','10.65.88.31','0','0'
'14609','18193','1','10.65.88.32','0','0'
'14609','24336','1','10.65.254.2','0','0'
'14609','91920','1','10.65.22.30','0','0'
