'14609','0','0','0'
'14609','1','1','1'
'14609','1','2','2'
'14609','1','3','3'
'14609','3','1','4'
'14609','3','2','5'
'14609','3','3','6'
'14609','2','1','7'
'14609','2','2','8'
'14609','2','3','9'
'14609','4','4','10'
'14609','5','4','11'
'14609','4','6','12'
'14609','4','7','13'
'14609','6','1','14'
'14609','6','2','15'
'14609','6','3','16'
'14609','7','1','17'
'14609','7','2','18'
'14609','7','3','19'
