'14609','93',NULL,NULL,NULL,NULL,NULL,'02',NULL,NULL
'14609','94',NULL,NULL,NULL,NULL,NULL,'02',NULL,NULL
'14609','95',NULL,NULL,NULL,NULL,NULL,'09',NULL,NULL
'14609','96',NULL,NULL,NULL,NULL,NULL,'07',NULL,NULL
'14609','97',NULL,NULL,NULL,NULL,NULL,'10',NULL,NULL
'14609','98',NULL,NULL,NULL,NULL,NULL,'02',NULL,NULL
'14609','99',NULL,NULL,NULL,NULL,NULL,'02',NULL,NULL
'14609','100',NULL,NULL,NULL,NULL,NULL,'02',NULL,NULL
'14609','101',NULL,NULL,NULL,NULL,NULL,'02',NULL,NULL
'14609','102',NULL,NULL,NULL,NULL,NULL,'09',NULL,NULL
'14609','103',NULL,NULL,NULL,NULL,NULL,'07',NULL,NULL
'14609','104',NULL,NULL,NULL,NULL,NULL,'10',NULL,NULL
'14609','105',NULL,NULL,NULL,NULL,NULL,'02',NULL,NULL
'14609','106',NULL,NULL,NULL,NULL,NULL,'02',NULL,NULL
'14609','107',NULL,NULL,NULL,NULL,NULL,'02',NULL,NULL
'14609','108',NULL,NULL,NULL,NULL,NULL,'02',NULL,NULL
'14609','109',NULL,NULL,NULL,NULL,NULL,'09',NULL,NULL
'14609','110',NULL,NULL,NULL,NULL,NULL,'07',NULL,NULL
'14609','111',NULL,NULL,NULL,NULL,NULL,'10',NULL,NULL
'14609','112',NULL,NULL,NULL,NULL,NULL,'02',NULL,NULL
'14609','113',NULL,NULL,NULL,NULL,NULL,'02',NULL,NULL
