'14609','1','1','3','0'
'14609','2','7','3','0'
'14609','3','3','3','0'
'14609','4','4','3','0'
'14609','5','5','3','0'
'14609','6','6','3','0'
'14609','7','8','3','0'
'14609','8','9','3','0'
'14609','9','10','3','0'
'14609','10','11','3','0'
'14609','11','12','3','0'
'14609','12','13','3','0'
'14609','13','27','3','0'
'14609','14','30','3','0'
'14609','15','22','3','0'
'14609','16','14','3','0'
'14609','17','32','3','0'
'14609','18','19','3','0'
'14609','19','31','3','0'
'14609','20','29','3','0'
'14609','21','16','3','0'
'14609','22','18','3','0'
'14609','23','21','3','0'
'14609','24','28','3','0'
