'14609','2','-1','NULL','+7','-1'
'14609','2','2','365','+7','2'
'14609','3','2','NULL','+7','2'
'14609','4','-1','NULL','X','2'
'14609','5','-1','NULL','X','2'
'14609','5','0','NULL','X','2'
'14609','6','2','3654','+7','2'
'14609','7','2','365','+7','2'
'14609','8','2','NULL','+7','2'
'14609','10','-1','NULL','X','2'
'14609','11','2','365','+7','2'
'14609','12','-1','NULL','+73652668680','2'
'14609','12','0','NULL','+73652668680','2'
'14609','12','2','NULL','+73652668680','2'
'14609','12','4','NULL','+73652668680','2'
'14609','14','-1','7','X','2'
'14609','14','-1','NULL','+7','2'
'14609','15','-1','NULL','X','2'
'14609','18','2','365','+7','2'
'14609','19','2','365','+7','2'
'14609','20','2','365','+7','2'
'14609','21','2','365','+7','2'
'14609','25','-1','NULL','X','2'
'14609','26','-1','NULL','X','2'
'14609','27','-1','NULL','+7','2'
'14609','28','-1','NULL','+7','2'
'14609','29','-1','NULL','X','2'
'14609','30','2','36554','+7','2'
'14609','31','-1','NULL','X','2'
'14609','38','-1','NULL','X','2'
'14609','100','-1','0652','.+73','2'
'14609','100','-1','NULL','X','2'
'14609','100','0','0652','.+73','2'
'14609','101','-1','NULL','+73652','2'
'14609','101','0','NULL','+73652','2'
'14609','102','-1','NULL','+7','2'
'14609','102','0','NULL','+7','2'
'14609','102','4','NULL','+7','2'
'14609','104','0','NULL','+7','2'
'14609','106','0','NULL','+7','2'
'14609','106','2','NULL','+7','2'
'14609','106','4','NULL','+7','2'
'14609','108','0','NULL','+7','2'
'14609','109','-1','83652','.+7','2'
'14609','109','-1','NULL','+7','2'
'14609','109','0','83652','.+7','2'
'14609','109','0','NULL','+7','2'
'14609','111','-1','NULL','+7','2'
'14609','113','-1','NULL','+7','2'
'14609','114','-1','NULL','X','2'
'14609','115','-1','NULL','X','2'
'14609','116','-1','NULL','X','2'
'14609','117','-1','NULL','+7','2'
'14609','117','0','NULL','+7','2'
'14609','117','2','NULL','+7','2'
'14609','117','4','NULL','+7','2'
'14609','119','-1','NULL','X','2'
'14609','120','-1','NULL','X','2'
'14609','120','0','NULL','X','2'
'14609','121','-1','NULL','+7','2'
'14609','121','0','NULL','+7','2'
'14609','121','2','NULL','+7','2'
'14609','121','4','NULL','+7','2'
'14609','122','-1','NULL','X','2'
'14609','123','-1','NULL','X','2'
'14609','123','0','NULL','X','2'
'14609','124','-1','NULL','X','2'
'14609','124','0','NULL','X','2'
'14609','125','-1','NULL','X','2'
'14609','126','-1','NULL','X','2'
'14609','127','-1','NULL','X','2'
'14609','128','-1','NULL','X','2'
'14609','129','-1','NULL','X','2'
'14609','130','-1','NULL','X','2'
'14609','131','-1','NULL','X','2'
'14609','132','-1','NULL','X','2'
'14609','133','-1','NULL','X','2'
'14609','134','-1','NULL','X','2'
'14609','135','-1','NULL','X','2'
'14609','136','-1','NULL','X','2'
'14609','137','-1','NULL','X','2'
'14609','138','-1','NULL','X','2'
'14609','139','-1','NULL','X','2'
'14609','140','-1','NULL','X','2'
'14609','141','-1','NULL','X','2'
'14609','142','-1','NULL','X','2'
'14609','143','-1','NULL','X','2'
'14609','144','-1','NULL','X','2'
'14609','145','-1','NULL','X','2'
'14609','146','-1','NULL','X','2'
'14609','147','-1','NULL','X','2'
'14609','148','-1','NULL','X','2'
'14609','149','-1','NULL','X','2'
'14609','150','-1','NULL','X','2'
'14609','151','-1','NULL','X','2'
'14609','152','-1','NULL','X','2'
