'14609','-1','G711A,G711U OTC'
'14609','0','G711A,G711U 20ms'
'14609','1','G711A,G711U,G729 20ms'
'14609','2','G711A,G711U,G729 30ms'
'14609','3','G711A,G711U,G729 20ms,Fax,Video'
'14609','4','G711A,G711U,G729 30ms,Fax,Video'
'14609','5','SIP_RT'
'14609','6','DTMF In Band'
'14609','7','DTMF In Band_10ms'
