'14609','100','10.65.22.50',NULL,NULL,NULL,'0','10','0','itu-t92+','0','3','0','0','5060',NULL,NULL,'0'
'14609','101','10.65.22.51',NULL,NULL,NULL,'0','1','0','itu-t92+','0','3','0','0','5060',NULL,NULL,'0'
'14609','102','10.65.22.52',NULL,NULL,NULL,'0','1','0','itu-t92+','0','3','0','0','5060',NULL,NULL,'0'
'14609','103','10.65.22.53',NULL,NULL,NULL,'0','10','3','itu-t92+','0','3','0','0','5060',NULL,NULL,'0'
'14609','104','10.65.22.54',NULL,NULL,NULL,'0','10','0','itu-t92+','0','3','0','0','5060',NULL,NULL,'0'
'14609','105','10.65.22.55',NULL,NULL,NULL,'0','8','0','itu-t92+','0','3','0','0','5060',NULL,NULL,'0'
'14609','106','10.65.22.56',NULL,NULL,NULL,'0','1','0','itu-t92+','0','3','0','0','5060',NULL,NULL,'0'
'14609','107','10.65.22.57',NULL,NULL,NULL,'0','8','0','itu-t92+','0','3','0','0','5060',NULL,NULL,'0'
'14609','108','10.65.22.58',NULL,NULL,NULL,'0','1','0','itu-t92+','0','3','0','0','5060',NULL,NULL,'0'
'14609','109','10.65.22.59',NULL,NULL,NULL,'0','12','0','itu-t92+','0','3','0','0','5060',NULL,NULL,'0'
'14609','111','10.65.22.100',NULL,NULL,NULL,'0','15','0','itu-t92+','0','3','0','0','5060',NULL,NULL,'0'
'14609','112','10.65.22.101',NULL,NULL,NULL,'0','10','0','itu-t92+','0','3','0','0','5060',NULL,NULL,'0'
'14609','113','10.65.22.61',NULL,NULL,NULL,'0','7','0','itu-t92+','0','3','0','0','5060',NULL,NULL,'0'
'14609','114','10.65.22.62',NULL,NULL,NULL,'0','10','0','itu-t92+','0','3','0','0','5060',NULL,NULL,'0'
'14609','115','10.65.22.63',NULL,NULL,NULL,'0','1','0','itu-t92+','0','3','0','0','5060',NULL,NULL,'0'
'14609','116','10.65.22.64',NULL,NULL,NULL,'0','1','0','itu-t92+','0','3','0','0','5060',NULL,NULL,'0'
'14609','117','10.65.22.65',NULL,NULL,NULL,'0','7','0','itu-t92+','0','3','0','0','5060',NULL,NULL,'0'
'14609','119','10.65.22.66',NULL,NULL,NULL,'0','1','0','itu-t92+','0','3','0','0','5060',NULL,NULL,'0'
'14609','120','10.65.22.67',NULL,NULL,NULL,'0','1','0','itu-t92+','0','3','0','0','5060',NULL,NULL,'0'
'14609','121','10.65.22.68',NULL,NULL,NULL,'0','7','0','itu-t92+','0','3','0','0','5060',NULL,NULL,'0'
'14609','122','10.65.22.69',NULL,NULL,NULL,'0','1','0','itu-t92+','0','3','0','0','5060',NULL,NULL,'0'
'14609','123','10.65.22.70',NULL,NULL,NULL,'0','1','0','itu-t92+','0','3','0','0','5060',NULL,NULL,'0'
'14609','124','10.65.22.71',NULL,NULL,NULL,'0','1','0','itu-t92+','0','3','0','0','5060',NULL,NULL,'0'
'14609','125','10.65.22.103',NULL,NULL,NULL,'0','7','3','itu-t92+','0','3','0','0','5060',NULL,NULL,'0'
'14609','126','10.65.22.104',NULL,NULL,NULL,'0','7','3','itu-t92+','0','3','0','0','5060',NULL,NULL,'0'
'14609','127','10.65.22.76',NULL,NULL,NULL,'0','1','0','itu-t92+','0','3','0','0','5060',NULL,NULL,'0'
'14609','128','10.65.22.72',NULL,NULL,NULL,'0','1','0','itu-t92+','0','3','0','0','5060',NULL,NULL,'0'
'14609','129','10.65.22.73',NULL,NULL,NULL,'0','7','0','itu-t92+','0','3','0','0','5060',NULL,NULL,'0'
'14609','130','10.65.22.74',NULL,NULL,NULL,'0','1','0','itu-t92+','0','3','0','0','5060',NULL,NULL,'0'
'14609','131','10.65.22.75',NULL,NULL,NULL,'0','1','0','itu-t92+','0','3','0','0','5060',NULL,NULL,'0'
'14609','132','10.65.22.77',NULL,NULL,NULL,'0','1','0','itu-t92+','0','3','0','0','5060',NULL,NULL,'0'
'14609','133','10.65.22.78',NULL,NULL,NULL,'0','1','0','itu-t92+','0','3','0','0','5060',NULL,NULL,'0'
'14609','134','10.65.22.79',NULL,NULL,NULL,'0','1','0','itu-t92+','0','3','0','0','5060',NULL,NULL,'0'
'14609','135','10.65.22.80',NULL,NULL,NULL,'0','1','0','itu-t92+','0','3','0','0','5060',NULL,NULL,'0'
'14609','136','10.65.22.81',NULL,NULL,NULL,'0','7','0','itu-t92+','0','3','0','0','5060',NULL,NULL,'0'
'14609','137','10.65.22.82',NULL,NULL,NULL,'0','1','0','itu-t92+','0','3','0','0','5060',NULL,NULL,'0'
'14609','138','10.65.22.102',NULL,NULL,NULL,'0','10','0','itu-t92+','0','3','0','0','5060',NULL,NULL,'0'
'14609','139','10.65.22.83',NULL,NULL,NULL,'0','1','0','itu-t92+','0','3','0','0','5060',NULL,NULL,'0'
'14609','140','10.65.22.84',NULL,NULL,NULL,'0','1','0','itu-t92+','0','3','0','0','5060',NULL,NULL,'0'
'14609','141','10.65.22.85',NULL,NULL,NULL,'0','1','0','itu-t92+','0','3','0','0','5060',NULL,NULL,'0'
'14609','142','10.65.22.86',NULL,NULL,NULL,'0','1','0','itu-t92+','0','3','0','0','5060',NULL,NULL,'0'
'14609','143','10.65.22.87',NULL,NULL,NULL,'0','1','0','itu-t92+','0','3','0','0','5060',NULL,NULL,'0'
'14609','144','10.65.22.88',NULL,NULL,NULL,'0','1','0','itu-t92+','0','3','0','0','5060',NULL,NULL,'0'
'14609','145','10.65.22.89',NULL,NULL,NULL,'0','1','0','itu-t92+','0','3','0','0','5060',NULL,NULL,'0'
'14609','146','10.65.22.90',NULL,NULL,NULL,'0','1','0','itu-t92+','0','3','0','0','5060',NULL,NULL,'0'
'14609','147','10.65.22.105',NULL,NULL,NULL,'0','1','0','itu-t92+','0','3','0','0','5060',NULL,NULL,'0'
'14609','148','10.65.22.106',NULL,NULL,NULL,'0','1','0','itu-t92+','0','3','0','0','5060',NULL,NULL,'0'
'14609','151','10.65.22.91',NULL,NULL,NULL,'0','1','0','itu-t92+','0','3','0','0','5060',NULL,NULL,'0'
