'14609','1','2','6147','0','1','0','0','0','0','15','0','3','0','0','0','1','0','0','0','4','1'
'14609','2','2','6169','0','2','0','0','0','0','15','0','10','0','0','0','1','0','0','0','4','0'
'14609','3','2','10254','0','3','0','0','0','0','15','0','15','0','0','0','1','0','0','0','4','1'
'14609','4','2','7936','0','4','0','0','0','0','15','0','15','0','0','0','2','0','0','0','4','0'
'14609','5','3','115','0','5','0','0','0','0','15','0','12','0','0','0','6','0','0','0','4','1'
'14609','6','2','6230','0','6','0','0','0','0','15','0','10','0','0','0','1','0','0','0','4','1'
'14609','7','3','101','0','2','0','0','0','0','15','0','26','0','0','0','4','0','0','0','3','1'
'14609','8','2','7996','0','7','0','0','0','0','15','0','28','0','0','0','5','0','0','0','3','1'
'14609','9','3','135','0','8','0','0','0','0','15','0','26','0','0','0','4','0','0','0','3','1'
'14609','10','2','5124','0','9','0','0','0','0','15','0','28','0','0','0','1','0','0','0','4','1'
'14609','11','3','85','0','10','0','0','0','0','15','0','26','0','0','0','4','0','0','0','3','1'
'14609','12','2','8440','0','11','0','0','0','0','15','0','28','0','0','0','1','0','0','0','4','1'
'14609','13','2','10262','0','12','0','0','0','0','15','0','40','0','0','0','1','0','0','0','4','1'
'14609','14','3','103','0','16','0','0','0','0','15','0','42','0','0','0','7','0','0','0','4','1'
'14609','15','3','10264','0','12','0','0','0','0','15','0','42','0','0','0','8','0','0','0','4','1'
'14609','16','3','107','0','21','0','0','0','0','15','0','44','0','0','0','9','0','0','0','4','1'
'14609','17','3','10266','0','12','0','0','0','0','15','0','45','0','0','0','10','0','0','0','4','1'
'14609','18','3','114','0','22','0','0','0','0','15','0','46','0','0','0','11','0','0','0','4','1'
'14609','19','3','121','0','18','0','0','0','0','15','0','47','0','0','0','12','0','0','0','4','1'
'14609','20','3','10269','0','12','0','0','0','0','15','0','48','0','0','0','13','0','0','0','4','1'
'14609','21','3','80','0','23','0','0','0','0','15','0','88','0','0','0','4','0','0','0','3','1'
'14609','22','3','123','0','15','0','0','0','0','15','0','50','0','0','0','15','0','0','0','4','1'
'14609','23','3','1028','0','12','0','0','0','0','15','0','51','0','0','0','16','0','0','0','4','1'
'14609','24','3','1029','0','12','0','0','0','0','15','0','52','0','0','0','17','0','0','0','4','1'
'14609','25','3','1030','0','12','0','0','0','0','15','0','53','0','0','0','18','0','0','0','4','1'
'14609','26','3','1031','0','12','0','0','0','0','15','0','54','0','0','0','19','0','0','0','4','1'
'14609','27','3','128','0','13','0','0','0','0','15','0','55','0','0','0','20','0','0','0','4','1'
'14609','28','2','10260','0','24','0','0','0','0','15','0','90','0','0','0','1','0','0','0','4','1'
'14609','29','3','129','0','20','0','0','0','0','15','0','57','0','0','0','22','0','0','0','4','1'
'14609','30','3','131','0','14','0','0','0','0','15','0','58','0','0','0','23','0','0','0','4','1'
'14609','31','3','132','0','19','0','0','0','0','15','0','59','0','0','0','24','0','0','0','4','1'
'14609','32','2','10264','0','17','0','0','0','0','15','0','72','0','0','0','1','0','0','0','4','1'
