'33620','3','-1','80','.+*0099','-1'
'33620','3','-1','81','.+*0099','-1'
'33620','3','-1','82','.+*0099','-1'
'33620','3','-1','83','.+*0099','-1'
'33620','3','-1','84','.+*0099','-1'
'33620','3','-1','85','.+*0099','-1'
'33620','3','-1','86','.+*0099','-1'
'33620','3','-1','87','.+*0099','-1'
'33620','3','-1','880','.+*0099','-1'
'33620','3','-1','882','.+*0099','-1'
'33620','3','-1','883','.+*0099','-1'
'33620','3','-1','884','.+*0099','-1'
'33620','3','-1','885','.+*0099','-1'
'33620','3','-1','886','.+*0099','-1'
'33620','3','-1','887','.+*0099','-1'
'33620','3','-1','888','.+*0099','-1'
'33620','3','-1','889','.+*0099','-1'
'33620','3','-1','89','.+*0099','-1'
'33620','4','-1','8','.+00088','-1'
'33620','5','-1','71','..','-1'
'33620','6','-1','80','.+00082','-1'
'33620','6','-1','81','.+00082','-1'
'33620','6','-1','82','.+00082','-1'
'33620','6','-1','88','.+00082','-1'
'33620','7','-1','8','.+00084','-1'
'33620','8','-1','80','..+000820','-1'
'33620','8','-1','81','..+000821','-1'
'33620','8','-1','82','..+000822','-1'
'33620','8','-1','88','..+000868','-1'
'33620','9','-1','80','..+000820','-1'
'33620','9','-1','81','..+000821','-1'
'33620','9','-1','82','..+000822','-1'
'33620','9','-1','84','..+000824','-1'
'33620','9','-1','86','..+000826','-1'
'33620','9','-1','87','..+000827','-1'
'33620','9','-1','880','...+40001','-1'
'33620','9','-1','881','...+40001','-1'
'33620','9','-1','882','...+40001','-1'
'33620','9','-1','8830','....+40001','-1'
'33620','9','-1','8831','....+40001','-1'
'33620','9','-1','8832','....+40001','-1'
'33620','9','-1','8833','....+40001','-1'
'33620','9','-1','88340','.....+40001','-1'
'33620','9','-1','88341','.....+40001','-1'
'33620','9','-1','88342','.....+40001','-1'
'33620','9','-1','88343','.....+40001','-1'
'33620','9','-1','88344','.....+40001','-1'
'33620','9','-1','88345','.....+40001','-1'
'33620','9','-1','88346','.....+40001','-1'
'33620','9','-1','88347','.+00082','-1'
'33620','9','-1','88348','.....+40001','-1'
'33620','9','-1','88349','.....+40001','-1'
'33620','9','-1','8835','....+40001','-1'
'33620','9','-1','8836','....+40001','-1'
'33620','9','-1','8837','....+40001','-1'
'33620','9','-1','8838','....+40001','-1'
'33620','9','-1','8839','....+40001','-1'
'33620','9','-1','884','...+40001','-1'
'33620','9','-1','885','...+40001','-1'
'33620','9','-1','886','...+40001','-1'
'33620','9','-1','887','...+40001','-1'
'33620','9','-1','888','...+40001','-1'
'33620','9','-1','88900','.....+40001','-1'
'33620','9','-1','889010','......+40001','-1'
'33620','9','-1','8890110','.......+40001','-1'
'33620','9','-1','8890111','.......+40001','-1'
'33620','9','-1','8890112','.......+40001','-1'
'33620','9','-1','8890113','.......+40001','-1'
'33620','9','-1','8890114','.......+40001','-1'
'33620','9','-1','88901150','........+40001','-1'
'33620','9','-1','88901151','........+40001','-1'
'33620','9','-1','88901152','.......+000828901152','-1'
'33620','9','-1','88901153','........+40001','-1'
'33620','9','-1','88901154','........+40001','-1'
'33620','9','-1','88901155','........+40001','-1'
'33620','9','-1','88901156','........+40001','-1'
'33620','9','-1','88901157','........+40001','-1'
'33620','9','-1','88901158','........+40001','-1'
'33620','9','-1','88901159','........+40001','-1'
'33620','9','-1','8890116','.......+40001','-1'
'33620','9','-1','8890117','.......+40001','-1'
'33620','9','-1','8890118','.......+40001','-1'
'33620','9','-1','8890119','.......+40001','-1'
'33620','9','-1','889012','......+40001','-1'
'33620','9','-1','889013','......+40001','-1'
'33620','9','-1','8890140','.......+40001','-1'
'33620','9','-1','88901410','........+40001','-1'
'33620','9','-1','88901411','........+40001','-1'
'33620','9','-1','88901412','........+40001','-1'
'33620','9','-1','88901413','........+40001','-1'
'33620','9','-1','88901414','........+40001','-1'
'33620','9','-1','88901415','........+000828901415','-1'
'33620','9','-1','88901416','........+000828901416','-1'
'33620','9','-1','88901417','........+40001','-1'
'33620','9','-1','88901418','........+000828901418','-1'
'33620','9','-1','88901419','........+40001','-1'
'33620','9','-1','8890142','.......+40001','-1'
'33620','9','-1','8890143','.......+40001','-1'
