'33620','0','1','1','0','0','0'
'33620','0','2','1','1','1','0'
'33620','0','2','2','1','2','0'
'33620','0','3','3','1','4','0'
'33620','0','4','4','1','6','0'
'33620','0','5','5','1','14','0'
'33620','0','6','6','1','18','0'
'33620','0','10','11','1','26','0'
'33620','1','1','1','0','0','0'
'33620','1','2','1','1','1','0'
'33620','1','2','2','1','2','0'
'33620','1','3','3','1','5','0'
'33620','1','4','4','1','6','0'
'33620','2','2','1','0','0','0'
'33620','2','3','3','1','4','0'
'33620','2','4','4','1','6','0'
'33620','3','2','1','0','0','0'
'33620','3','3','3','1','5','0'
'33620','3','4','4','1','6','0'
'33620','4','1','1','0','0','0'
'33620','4','3','3','1','4','0'
'33620','4','4','4','1','6','0'
'33620','5','1','1','0','0','0'
'33620','5','3','3','1','5','0'
'33620','5','4','4','1','6','0'
'33620','6','1','1','0','0','0'
'33620','6','2','1','1','1','0'
'33620','6','2','2','1','2','0'
'33620','6','3','3','1','4','0'
'33620','6','4','4','1','6','0'
'33620','6','5','5','1','14','0'
'33620','6','6','6','1','18','0'
'33620','6','7','8','1','22','0'
'33620','7','1','1','0','0','0'
'33620','7','1','9','1','23','0'
'33620','7','2','1','1','1','0'
'33620','7','2','2','1','2','0'
'33620','7','3','3','1','4','0'
'33620','7','4','4','1','6','0'
'33620','7','5','5','1','14','0'
'33620','7','6','6','1','18','0'
'33620','7','8','1','1','23','0'
'33620','7','9','10','0','0','0'
