'33620','1','0','0','0','0','0','0','1','0','0','0','0','0'
'33620','2','0','0','0','0','0','0','2','0','0','0','0','0'
'33620','3','0','0','0','0','0','0','3','0','0','0','0','0'
'33620','4','0','0','0','0','0','0','4','0','0','0','0','0'
'33620','6','0','0','0','0','0','0','6','0','0','0','0','0'
'33620','7','0','0','0','0','0','0','7','0','0','0','0','0'
'33620','8','0','0','0','0','0','0','8','0','0','0','0','0'
'33620','9','0','0','0','0','0','0','9','0','0','0','0','0'
'33620','10','0','0','0','0','0','0','10','0','0','0','0','0'
'33620','11','0','0','0','0','0','0','11','0','0','0','0','0'
'33620','12','0','0','0','0','0','0','12','0','0','0','0','0'
'33620','13','0','0','0','0','0','0','13','0','0','0','0','0'
'33620','14','0','0','0','0','0','0','14','0','0','0','0','0'
'33620','15','0','0','0','0','0','0','15','0','0','0','0','0'
'33620','16','0','0','0','0','0','0','16','0','0','0','0','0'
'33620','17','0','0','0','0','0','0','17','0','0','0','0','0'
'33620','18','0','0','0','0','0','0','18','0','0','0','0','0'
'33620','41','0','0','0','0','0','0','41','0','0','0','0','0'
'33620','42','0','0','0','0','0','0','42','0','0','0','0','0'
'33620','43','0','0','0','0','0','0','43','0','0','0','0','0'
'33620','44','0','0','7','0','0','0','41','0','0','0','0','0'
'33620','44','0','0','7','4','0','0','44','0','0','0','0','0'
'33620','100','0','0','0','0','0','0','100','0','0','0','0','0'
'33620','113','0','0','0','0','0','0','113','0','0','0','0','0'
'33620','114','0','0','0','0','0','0','114','0','0','0','0','0'
'33620','116','0','0','0','0','0','0','116','0','0','0','0','0'
'33620','117','0','0','0','0','0','0','117','0','0','0','0','0'
'33620','119','0','0','0','0','0','0','119','0','0','0','0','0'
'33620','120','0','0','0','0','0','0','120','0','0','0','0','0'
'33620','347','0','0','7','0','0','0','210','0','0','0','0','0'
'33620','347','0','0','7','1','0','0','269','0','0','0','0','0'
'33620','347','0','0','7','2','0','0','279','0','0','0','0','0'
'33620','347','0','0','7','3','0','0','210','0','0','0','0','0'
