'33620','0','0','0','4'
'33620','1','19','1','0'
'33620','2','19','1','0'
'33620','3','7','1','0'
'33620','4','7','1','0'
'33620','5','5','1','0'
'33620','6','5','1','0'
'33620','7','9','1','0'
'33620','8','20','1','0'
'33620','9','20','1','0'
'33620','10','9','1','0'
'33620','11','23','1','0'
'33620','12','23','1','0'
