'33620','0','#0000*','1','0','5','0','0'
'33620','0','#02#','1','0','5','16','0'
'33620','0','#04#','1','0','5','38','0'
'33620','0','#05#','1','0','5','42','0'
'33620','0','#121#','1','0','5','79','0'
'33620','0','#122#','1','0','5','85','0'
'33620','0','#126#','1','0','5','88','0'
'33620','0','#161#','1','0','5','82','0'
'33620','0','#21#','1','0','5','1','0'
'33620','0','#22#','1','0','5','5','0'
'33620','0','#23#','1','0','5','59','0'
'33620','0','#25*','1','0','5','49','0'
'33620','0','#26#','1','0','5','13','0'
'33620','0','#27#','1','0','5','122','0'
'33620','0','#34*','1','0','5','19','0'
'33620','0','#37#','1','0','5','35','0'
'33620','0','#43#','1','0','5','46','0'
'33620','0','#50#','1','0','5','70','0'
'33620','0','#51*','1','0','5','52','0'
'33620','0','#53#','1','0','5','22','0'
'33620','0','#55#','1','0','5','27','0'
'33620','0','#55*','1','0','5','26','0'
'33620','0','#56#','1','0','5','32','0'
'33620','0','#56*','1','0','5','31','0'
'33620','0','#57#','1','0','5','63','0'
'33620','0','#57*','1','0','5','62','0'
'33620','0','#590#','1','0','5','114','0'
'33620','0','#590*','1','0','5','91','0'
'33620','0','#591#','1','0','5','114','0'
'33620','0','#591*','1','0','5','100','0'
'33620','0','#592#','1','0','5','114','0'
'33620','0','#592*','1','0','5','101','0'
'33620','0','#593#','1','0','5','114','0'
'33620','0','#593*','1','0','5','102','0'
'33620','0','#594#','1','0','5','114','0'
'33620','0','#594*','1','0','5','103','0'
'33620','0','#595#','1','0','5','114','0'
'33620','0','#595*','1','0','5','104','0'
'33620','0','#596#','1','0','5','114','0'
'33620','0','#596*','1','0','5','105','0'
'33620','0','#597#','1','0','5','114','0'
'33620','0','#597*','1','0','5','106','0'
'33620','0','#61#','1','0','5','9','0'
'33620','0','#66*','1','0','5','73','0'
'33620','0','#81#','1','0','5','1','0'
'33620','0','#82#','1','0','5','9','0'
'33620','0','#83#','1','0','5','5','0'
'33620','0','#84#','1','0','5','68','0'
'33620','0','#85#','1','0','5','69','0'
'33620','0','*#02#','1','0','5','17','0'
'33620','0','*#04#','1','0','5','39','0'
'33620','0','*#04*','1','0','5','40','0'
'33620','0','*#05#','1','0','5','43','0'
'33620','0','*#121#','1','0','5','80','0'
'33620','0','*#122#','1','0','5','86','0'
'33620','0','*#126#','1','0','5','89','0'
'33620','0','*#161#','1','0','5','83','0'
'33620','0','*#21#','1','0','5','2','0'
'33620','0','*#21*','1','0','5','3','0'
'33620','0','*#22#','1','0','5','6','0'
'33620','0','*#22*','1','0','5','7','0'
'33620','0','*#23#','1','0','5','60','0'
'33620','0','*#25*','1','0','5','50','0'
'33620','0','*#26#','1','0','5','14','0'
'33620','0','*#34#','1','0','5','20','0'
'33620','0','*#37#','1','0','5','36','0'
'33620','0','*#43#','1','0','5','47','0'
'33620','0','*#51#','1','0','5','53','0'
'33620','0','*#510*','1','0','5','54','0'
'33620','0','*#511*','1','0','5','55','0'
'33620','0','*#53#','1','0','5','23','0'
'33620','0','*#53*','1','0','5','24','0'
'33620','0','*#55#','1','0','5','29','0'
'33620','0','*#55*','1','0','5','28','0'
'33620','0','*#56#','1','0','5','34','0'
'33620','0','*#56*','1','0','5','33','0'
'33620','0','*#57#','1','0','5','65','0'
'33620','0','*#57*','1','0','5','64','0'
'33620','0','*#590#','1','0','5','115','0'
'33620','0','*#590*','1','0','5','92','0'
'33620','0','*#591#','1','0','5','115','0'
'33620','0','*#591*','1','0','5','107','0'
'33620','0','*#592#','1','0','5','115','0'
'33620','0','*#592*','1','0','5','108','0'
'33620','0','*#593#','1','0','5','115','0'
'33620','0','*#593*','1','0','5','109','0'
'33620','0','*#594#','1','0','5','115','0'
'33620','0','*#594*','1','0','5','110','0'
'33620','0','*#595#','1','0','5','115','0'
'33620','0','*#595*','1','0','5','111','0'
'33620','0','*#596#','1','0','5','115','0'
'33620','0','*#596*','1','0','5','112','0'
'33620','0','*#597#','1','0','5','115','0'
'33620','0','*#597*','1','0','5','113','0'
'33620','0','*#61#','1','0','5','10','0'
'33620','0','*#61*','1','0','5','11','0'
'33620','0','*#66*','1','0','5','74','0'
'33620','0','**','1','0','0','1','0'
'33620','0','*02#','1','0','5','15','0'
'33620','0','*04#','1','0','5','37','0'
'33620','0','*05#','1','0','5','41','0'
'33620','0','*06','1','0','7','1','0'
'33620','0','*121#','1','0','5','78','0'
'33620','0','*122#','1','0','5','84','0'
'33620','0','*126#','1','0','5','87','0'
'33620','0','*161#','1','0','5','81','0'
'33620','0','*21*','1','0','5','0','0'
'33620','0','*22*','1','0','5','4','0'
'33620','0','*23*','1','0','5','58','0'
'33620','0','*25*','1','0','5','48','0'
'33620','0','*26#','1','0','5','12','0'
'33620','0','*27*','1','0','5','121','0'
'33620','0','*30*','1','0','5','44','0'
'33620','0','*32*','1','0','27','0','0'
'33620','0','*33*','1','0','5','71','0'
'33620','0','*34*','1','0','5','18','0'
'33620','0','*41','1','0','7','0','0'
'33620','0','*42','1','0','7','1','0'
'33620','0','*43#','1','0','5','45','0'
'33620','0','*50','1','0','27','7','0'
'33620','0','*51*','1','0','5','51','0'
'33620','0','*53*','1','0','5','21','0'
'33620','0','*55*','1','0','5','25','0'
'33620','0','*56*','1','0','5','30','0'
'33620','0','*57*','1','0','5','61','0'
'33620','0','*590*','1','0','5','90','0'
'33620','0','*591*','1','0','5','93','0'
'33620','0','*592*','1','0','5','94','0'
'33620','0','*593*','1','0','5','95','0'
'33620','0','*594*','1','0','5','96','0'
'33620','0','*595*','1','0','5','97','0'
'33620','0','*596*','1','0','5','98','0'
'33620','0','*597*','1','0','5','99','0'
'33620','0','*61*','1','0','5','8','0'
'33620','0','*66*','1','0','5','72','0'
