'33620','10','1','5000','1','101'
'33620','11','1','400','1','101'
'33620','11','2','40','1','0'
'33620','12','1','1000','1','101'
'33620','12','2','4000','1','0'
'33620','13','1','350','1','101'
'33620','13','2','350','1','0'
'33620','14','1','175','1','101'
'33620','14','2','175','1','0'
'33620','15','1','330','1','102'
'33620','15','2','330','1','103'
'33620','15','3','330','1','104'
'33620','15','4','1000','1','0'
'33620','16','1','200','1','101'
'33620','16','2','5000','1','0'
'33620','17','1','200','1','101'
'33620','17','2','5000','1','0'
'33620','18','1','250','1','105'
'33620','18','2','250','1','0'
'33620','18','3','250','1','105'
'33620','18','4','1250','1','0'
'33620','19','1','5000','1','101'
'33620','20','1','500','1','101'
'33620','20','2','200','1','0'
'33620','20','3','500','1','101'
'33620','20','4','2000','1','0'
'33620','21','1','200','1','105'
'33620','21','2','5000','1','0'
'33620','22','1','500','0','105'
'33620','22','2','1000','0','0'
'33620','22','3','500','0','105'
'33620','23','1','200','1','101'
'33620','23','2','5000','1','0'
'33620','24','1','5000','1','101'
'33620','25','1','330','1','102'
'33620','25','2','330','1','103'
'33620','25','3','330','1','104'
'33620','25','4','1000','1','0'
'33620','26','1','5000','1','106'
'33620','27','1','500','1','0'
'33620','27','2','32700','1','101'
'33620','28','1','330','0','102'
'33620','28','2','330','0','103'
'33620','28','3','330','0','104'
'33620','29','1','1000','0','107'
'33620','29','2','1000','0','0'
'33620','29','3','1000','0','107'
'33620','30','1','330','1','102'
'33620','30','2','330','1','103'
'33620','30','3','330','1','104'
'33620','30','4','1000','1','0'
'33620','31','1','5000','1','101'
'33620','33','1','30000','1','100'
'33620','34','1','5000','1','101'
'33620','35','1','350','1','101'
'33620','35','2','350','1','0'
'33620','36','1','300','0','105'
'33620','37','1','300','0','105'
'33620','38','1','330','0','104'
'33620','38','2','330','0','103'
'33620','38','3','330','0','104'
'33620','38','4','330','0','103'
'33620','38','5','330','0','104'
'33620','39','1','300','0','105'
'33620','40','1','300','0','105'
'33620','41','1','660','1','103'
'33620','42','1','330','1','103'
'33620','42','2','330','1','102'
'33620','43','1','330','1','104'
'33620','43','2','330','1','103'
'33620','43','3','330','1','102'
'33620','44','1','30','1','1'
'33620','44','2','3000','1','108'
'33620','44','3','100','1','1'
'33620','45','1','2000','1','101'
'33620','45','2','5000','1','0'
'33620','46','1','150','1','101'
'33620','46','2','150','1','0'
'33620','46','3','150','1','101'
'33620','46','4','4550','1','101'
'33620','100','1','200','1','105'
'33620','100','2','5000','1','0'
