'33620','1','83140102','0'
'33620','1','83140103','0'
'33620','1','83140104','0'
'33620','1','83143393','1'
'33620','1','83210499','0'
'33620','2','7041477','0'
'33620','2','7079630','0'
'33620','2','83250300','0'
'33620','2','83250309','1'
'33620','2','83250581','0'
'33620','2','83251422','0'
'33620','2','83253440','0'
'33620','2','83254445','0'
'33620','2','83255493','0'
'33620','2','83256432','0'
'33620','3','7025340','0'
'33620','3','7025342','0'
'33620','3','7038704','0'
'33620','3','7038751','0'
'33620','3','7069405','0'
'33620','3','7091162','0'
'33620','3','7091314','0'
'33620','3','83254402','0'
'33620','3','83254404','0'
'33620','3','83254413','1'
'33620','3','83254419','0'
'33620','3','83254420','0'
'33620','4','7071631','0'
'33620','4','83252460','0'
'33620','4','83252484','1'
'33620','4','83254421','0'
'33620','4','83256408','0'
'33620','4','83257456','0'
'33620','5','7025329','0'
'33620','5','7025342','0'
'33620','5','7038748','0'
'33620','5','7043385','0'
'33620','5','7071430','0'
'33620','5','7078914','0'
'33620','5','7091133','0'
'33620','5','83252427','1'
'33620','5','83254401','0'
'33620','6','83251418','0'
'33620','6','83252403','1'
'33620','6','83254402','0'
'33620','6','83257450','0'
'33620','7','7096435','0'
'33620','7','83225404','1'
'33620','7','83225408','0'
'33620','7','83225411','0'
'33620','7','83225413','0'
'33620','7','83225414','0'
'33620','7','83225418','0'
'33620','7','83225427','0'
'33620','7','83225428','0'
'33620','7','83225449','0'
'33620','7','83225459','0'
'33620','7','83225466','0'
'33620','7','83225472','0'
'33620','7','83225476','0'
'33620','7','83225482','0'
'33620','7','83225486','0'
'33620','7','83225487','0'
'33620','7','83225490','0'
