'33620','1','8','12','2','0','0','1','2038',NULL,'0','0','0',NULL
'33620','8','8','77','3','0','2',NULL,NULL,NULL,'0','0','0',NULL
'33620','9','8','77','4','0','2',NULL,NULL,NULL,'0','0','0',NULL
'33620','10','8','77','3','0','2',NULL,NULL,NULL,'0','0','0',NULL
'33620','11','8','77','3','0','2',NULL,NULL,NULL,'0','0','0',NULL
'33620','12','8','12','34','0','0',NULL,'2038',NULL,'0','0','0',NULL
'33620','13','8','12','34','0','0',NULL,'2038',NULL,'0','0','0',NULL
'33620','14','8','77','3','0','2',NULL,NULL,NULL,'0','0','0',NULL
'33620','15','8','77','4','0','2',NULL,NULL,NULL,'0','0','0',NULL
'33620','16','8','77','3','0','2',NULL,NULL,NULL,'0','0','0',NULL
'33620','17','8','77','4','0','2',NULL,NULL,NULL,'0','0','0',NULL
'33620','18','8','77','3','0','2',NULL,NULL,NULL,'0','0','0',NULL
'33620','19','8','77','4','0','2',NULL,NULL,NULL,'0','0','0',NULL
'33620','20','8','77','4','0','2',NULL,NULL,NULL,'0','0','0',NULL
'33620','21','8','77','4','0','2',NULL,NULL,NULL,'0','0','0',NULL
'33620','22','8','77','4','1','2',NULL,NULL,NULL,'0','0','0',NULL
'33620','23','8','77','3','0','2',NULL,NULL,NULL,'0','0','0',NULL
'33620','24','8','77','4','0','2',NULL,NULL,NULL,'0','0','0',NULL
'33620','25','8','77','4','1','2',NULL,NULL,NULL,'0','0','0',NULL
'33620','26','8','77','4','0','2',NULL,NULL,NULL,'0','0','0',NULL
'33620','27','8','77','4','1','2',NULL,NULL,NULL,'0','0','0',NULL
'33620','28','8','77','4','0','2',NULL,NULL,NULL,'0','0','0',NULL
'33620','29','8','77','4','0','2',NULL,NULL,NULL,'0','0','0',NULL
'33620','30','8','77','4','0','2',NULL,NULL,NULL,'0','0','0',NULL
'33620','31','8','77','4','1','2',NULL,NULL,NULL,'0','0','0',NULL
'33620','32','8','77','4','1','2',NULL,NULL,NULL,'0','0','0',NULL
'33620','33','8','77','4','0','2',NULL,NULL,NULL,'0','0','0',NULL
'33620','34','8','77','4','0','2',NULL,NULL,NULL,'0','0','0',NULL
