'33620','1','0',NULL,'1','154','0'
'33620','2','0',NULL,'1','156','0'
'33620','3','0',NULL,'1','158','0'
'33620','4','0',NULL,'1','160','0'
'33620','5','0',NULL,'1','162','0'
'33620','6','0',NULL,'1','166','0'
'33620','7','0',NULL,'1','168','0'
'33620','9','0',NULL,'1','153','0'
'33620','10','0',NULL,'1','155','0'
'33620','11','0',NULL,'1','223','0'
'33620','13','0',NULL,'1','241','0'
'33620','14','0',NULL,'1','161','0'
'33620','15','0',NULL,'1','242','0'
'33620','16','0',NULL,'1','243','0'
'33620','21','0',NULL,'1','324','0'
'33620','22','0',NULL,'1','164','0'
'33620','23','0',NULL,'1','157','0'
'33620','24','0',NULL,'1','159','0'
'33620','25','0',NULL,'1','336','0'
'33620','26','0',NULL,'1','337','0'
'33620','27','0',NULL,'1','338','0'
'33620','28','0',NULL,'1','339','0'
'33620','29','0',NULL,'1','348','0'
'33620','30','0',NULL,'1','361','0'
'33620','31','0',NULL,'1','362','0'
'33620','32','0',NULL,'1','363','0'
'33620','33','0',NULL,'1','364','0'
'33620','34','0',NULL,'1','365','0'
