'33620','40347','20120725','1635','0','20120725','1612','1','0','40347','73'
'33620','40347','20120726','745','5','20120725','1611','1','0','40347','73'
'33620','40347','20120727','740','0','20120726','1540','1','0','40347','73'
'33620','40347','20120730','740','0','20120726','1540','1','0','40347','73'
'33620','40347','20120731','740','0','20120726','1540','1','0','40347','73'
'33620','40347','20120801','740','0','20120726','1540','1','0','40347','73'
'33620','40347','20120802','740','0','20120726','1540','1','0','40347','73'
'33620','40347','20120803','740','0','20120726','1540','1','0','40347','73'
'33620','40347','20120806','740','0','20120726','1540','1','0','40347','73'
'33620','40347','20120807','740','0','20120726','1540','1','0','40347','73'
'33620','40347','20120808','740','0','20120726','1540','1','0','40347','73'
'33620','40347','20120809','740','0','20120726','1540','1','0','40347','73'
'33620','40347','20120810','740','0','20120726','1540','1','0','40347','73'
'33620','40347','20120813','740','0','20120726','1540','1','0','40347','73'
'33620','40347','20120814','740','0','20120726','1540','1','0','40347','73'
'33620','40347','20120815','740','0','20120726','1540','1','0','40347','73'
'33620','40347','20120816','740','0','20120726','1540','1','0','40347','73'
'33620','40347','20120817','740','0','20120726','1540','1','0','40347','73'
'33620','40347','20120820','740','5','20120726','1540','1','0','40347','73'
'33620','40347','20120821','740','0','20120726','1540','1','0','40347','73'
'33620','40347','20120822','740','3','20120726','1540','1','0','40347','73'
'33620','40347','20120822','740','0','20120726','1540','1','0','40347','73'
'33620','40347','20120823','740','0','20120726','1540','1','0','40347','73'
'33620','40347','20120824','740','0','20120726','1540','1','0','40347','73'
'33620','40347','20120827','740','0','20120726','1540','1','0','40347','73'
'33620','40347','20120828','740','0','20120726','1540','1','0','40347','73'
'33620','40347','20120829','740','0','20120726','1540','1','0','40347','73'
'33620','40347','20120830','740','0','20120726','1540','1','0','40347','73'
'33620','40347','20120831','740','0','20120726','1540','1','0','40347','73'
'33620','40347','20120903','740','0','20120726','1540','1','0','40347','73'
'33620','40347','20120904','740','0','20120726','1540','1','0','40347','73'
'33620','40347','20120905','740','0','20120726','1540','1','0','40347','73'
'33620','40347','20120906','740','0','20120726','1540','1','0','40347','73'
'33620','40347','20120907','740','0','20120726','1540','1','0','40347','73'
'33620','40347','20120910','740','0','20120726','1540','1','0','40347','73'
'33620','40347','20120911','740','0','20120726','1540','1','0','40347','73'
'33620','40347','20120912','740','5','20120726','1540','1','0','40347','73'
'33620','40347','20120913','740','5','20120726','1540','1','0','40347','73'
'33620','40347','20120914','740','5','20120726','1540','1','0','40347','73'
'33620','40347','20120917','740','0','20120726','1540','1','0','40347','73'
'33620','40347','20120918','740','0','20120726','1540','1','0','40347','73'
'33620','40347','20120919','740','0','20120726','1540','1','0','40347','73'
'33620','40347','20120920','740','0','20120726','1540','1','0','40347','73'
'33620','40347','20120921','740','0','20120726','1540','1','0','40347','73'
'33620','40347','20120924','740','0','20120726','1540','1','0','40347','73'
'33620','40347','20120925','740','0','20120726','1540','1','0','40347','73'
'33620','40347','20120926','740','0','20120726','1540','1','0','40347','73'
'33620','40347','20120927','740','0','20120726','1540','1','0','40347','73'
'33620','40347','20120928','740','0','20120726','1540','1','0','40347','73'
'33620','40347','20121001','740','0','20120726','1540','1','0','40347','73'
'33620','40347','20121002','740','0','20120726','1540','1','0','40347','73'
'33620','40347','20121003','740','0','20120726','1540','1','0','40347','73'
'33620','40347','20121004','740','0','20120726','1540','1','0','40347','73'
'33620','40347','20121005','740','0','20120726','1540','1','0','40347','73'
'33620','40347','20121008','740','0','20120726','1540','1','0','40347','73'
'33620','40347','20121009','740','3','20120726','1540','1','0','40347','73'
'33620','40347','20121010','740','0','20120726','1540','1','0','40347','73'
'33620','40347','20121011','740','5','20120726','1540','1','0','40347','73'
'33620','40347','20121012','740','0','20120726','1540','1','0','40347','73'
'33620','40347','20121015','740','0','20120726','1540','1','0','40347','73'
