'33620','1','ama.cdr','/opt/si2000/neroot/charging/working','/opt/si2000/neroot/charging/transfer','$(NODE)$(DATE)$(TIME)$(INDEX,2).ama','0','1','1',NULL,NULL,'1','1'
'33620','2','performance.cdr','/opt/si2000/neroot/files/performance/working','/opt/si2000/neroot/files/performance/cdr','$(NODE)$(DATE)$(HOUR)$(MIN)$(INDEX,2)','512','2','1',NULL,NULL,NULL,'2'
'33620','3','mob.cdr','/opt/si2000/neroot/files/mob/working','/opt/si2000/neroot/files/mob/cdr','$(NODE)_$(DATE)$(TIME)_mob_$(INDEX,3).$(SUFFIX)','768','3','1',NULL,NULL,NULL,'3'
'33620','4','centrex.cdr','/opt/si2000/neroot/charging/working','/opt/si2000/neroot/charging/centrex','$(NODE)cdr.$(INDEX,3)','256','4','1',NULL,NULL,NULL,'4'
'33620','5','v5ama.cdr','/opt/si2000/neroot/charging/working','/opt/si2000/neroot/charging/v5transfer','$(NODE)cdr.$(INDEX,3)','512','5','1',NULL,NULL,NULL,'5'
'33620','6','archive','/opt/si2000/neroot/charging/archive','/opt/si2000/neroot/charging/archive','archive','1536',NULL,NULL,NULL,NULL,NULL,'6'
'33620','7','iacama.cdr','/opt/si2000/neroot/charging/working','/opt/si2000/neroot/charging/iacama','$(NODE)$(DATE)$(TIME)$(INDEX,2).si3000iacama','0','10','1',NULL,NULL,NULL,'7'
'33620','8','source1320742613694.cdr','/opt/si2000/neroot/charging/working','/opt/si2000/neroot/charging/transfer1','$(NODE)$(DATE)$(TIME)$(INDEX,2).doc','0','14','4',NULL,NULL,'2','1'
'33620','9','source1416980340807.cdr','/opt/si2000/neroot/charging/working','/opt/si2000/neroot/charging/transfer2','$(NODE)$(DATE)$(TIME)$(INDEX,2).ama','0','15','1',NULL,NULL,'4','1'
'33620','10','onlinecdrbkp.cdr','/opt/si2000/neroot/charging/working','/opt/si2000/neroot/charging/onlinecdrbkp','$(NODE)$(DATE)$(TIME)$(INDEX,2).cdr','0','16','1',NULL,NULL,NULL,'8'
'33620','11','onlineacctbkp.cdr','/opt/si2000/neroot/charging/working','/opt/si2000/neroot/charging/onlineacctbkp','$(NODE)$(DATE)$(TIME)$(INDEX,2).acc','0','17','1',NULL,NULL,NULL,'9'
