'33620','-1','G711A,G711U OTC'
'33620','0','G711A,G711U 20ms'
'33620','1','G711A,G711U,G729 20ms'
'33620','2','G711A,G711U,G729 30ms'
'33620','3','G711A,G711U,G729 20ms,Fax,Video'
'33620','4','G711A,G711U,G729 30ms,Fax,Video'
'33620','5','G711A,G711U 20ms_Targin'
'33620','6','G711A,G711U 20ms_Targin_test'
