'33620','1','',NULL,NULL,NULL,'1','0',NULL,'0',NULL,'5060','1',NULL,NULL,'SCTP',NULL,NULL
'33620','2','10.60.32.10',NULL,NULL,NULL,'0','0',NULL,'0',NULL,'5060','1',NULL,NULL,NULL,NULL,NULL
'33620','3','10.162.4.36',NULL,NULL,NULL,'0','0',NULL,'0',NULL,'5060','1',NULL,NULL,'SCTP',NULL,NULL
'33620','4','10.60.32.13',NULL,NULL,NULL,'0','0',NULL,'0',NULL,'5060','1',NULL,NULL,'SCTP',NULL,NULL
'33620','5','10.60.32.40',NULL,NULL,NULL,'2','0',NULL,'0',NULL,'5060','1',NULL,NULL,'SCTP',NULL,NULL
'33620','6','10.60.32.41',NULL,NULL,NULL,'3','0',NULL,'0',NULL,'5060','1',NULL,NULL,'SCTP',NULL,NULL
'33620','7','',NULL,NULL,NULL,'4','0',NULL,'0',NULL,'5060','1',NULL,NULL,'SCTP',NULL,NULL
'33620','8','10.62.8.150',NULL,NULL,NULL,'0','0',NULL,'0',NULL,'5060','1',NULL,NULL,'UDP',NULL,NULL
'33620','9','10.60.4.116',NULL,NULL,NULL,'0','0',NULL,'0',NULL,'5060','1',NULL,NULL,'UDP',NULL,NULL
'33620','10','10.60.8.96',NULL,NULL,NULL,'7','0',NULL,'2',NULL,'5060','1',NULL,NULL,'UDP',NULL,NULL
'33620','11','10.60.8.53',NULL,NULL,NULL,'8','0',NULL,'0',NULL,'5060','1',NULL,NULL,'UDP',NULL,NULL
'33620','12','10.60.9.251',NULL,NULL,NULL,'0','0',NULL,'0',NULL,'5060','1',NULL,NULL,'UDP',NULL,NULL
'33620','13',NULL,NULL,NULL,NULL,'5','0',NULL,'0',NULL,'5060','1',NULL,NULL,'UDP',NULL,NULL
'33620','14',NULL,NULL,NULL,NULL,'6','0',NULL,'0',NULL,'5060','1',NULL,NULL,'UDP',NULL,NULL
'33620','15','10.60.213.130',NULL,NULL,NULL,'0','0',NULL,'0',NULL,'5060','1',NULL,NULL,'UDP',NULL,NULL
'33620','16','10.60.50.11',NULL,NULL,NULL,'10','0',NULL,'0',NULL,'5060','1',NULL,NULL,'UDP',NULL,NULL
'33620','17','10.60.50.12',NULL,NULL,NULL,'11','0',NULL,'0',NULL,'5060','1',NULL,NULL,'UDP',NULL,NULL
