'30000','1','5'
'30000','2','5'
'30000','3','5'
'30000','4','5'
'30000','5','5'
'30000','6','5'
'30000','7','5'
'30000','8','5'
'30000','9','5'
'30000','10','5'
'30000','11','5'
'30000','12','5'
'30000','100','5'
'30000','101','5'
'30000','102','5'
'30000','110','5'
'30000','125','5'
'30000','1003','5'
'30000','1004','5'
'30000','1103','5'
'30000','1104','5'
'30000','1203','5'
'30000','1204','5'
'30000','1303','5'
'30000','1304','5'
'30000','1403','5'
'30000','1404','5'
'30000','1503','5'
'30000','1504','5'
'30000','1603','5'
'30000','1604','5'
'30000','1903','5'
'30000','1904','5'
'30000','2003','5'
'30000','2004','5'
'30000','2203','5'
'30000','2204','5'
'30000','2403','5'
'30000','2404','5'
'30000','2503','5'
'30000','2504','5'
'30000','2803','5'
'30000','2804','5'
'30000','2903','5'
'30000','2904','5'
'30000','3003','5'
'30000','3004','5'
'30000','3103','5'
'30000','3104','5'
'30000','3403','5'
'30000','3404','5'
'30000','3503','5'
'30000','3504','5'
'30000','3603','5'
'30000','3604','5'
'30000','3703','5'
'30000','3704','5'
'30000','3803','5'
'30000','3804','5'
'30000','3903','5'
'30000','3904','5'
'30000','4003','5'
'30000','4004','5'
'30000','4103','5'
'30000','4104','5'
'30000','4303','5'
'30000','4304','5'
'30000','4403','5'
'30000','4404','5'
'30000','4503','5'
'30000','4504','5'
'30000','4603','5'
'30000','4604','5'
'30000','4703','5'
'30000','4704','5'
'30000','4803','5'
'30000','4804','5'
'30000','4903','5'
'30000','4904','5'
'30000','5003','5'
'30000','5004','5'
'30000','5103','5'
'30000','5104','5'
'30000','5203','5'
'30000','5204','5'
'30000','5303','5'
'30000','5304','5'
'30000','5403','5'
'30000','5404','5'
'30000','5503','5'
'30000','5504','5'
'30000','5603','5'
'30000','5604','5'
'30000','5703','5'
'30000','5704','5'
'30000','5803','5'
'30000','5804','5'
'30000','5903','5'
'30000','5904','5'
'30000','6003','5'
'30000','6004','5'
'30000','6103','5'
'30000','6104','5'
'30000','6203','5'
'30000','6204','5'
'30000','6303','5'
'30000','6304','5'
'30000','6403','5'
'30000','6404','5'
'30000','6503','5'
'30000','6504','5'
'30000','6603','5'
'30000','6604','5'
'30000','6703','5'
'30000','6704','5'
'30000','6803','5'
'30000','6804','5'
'30000','6903','5'
'30000','6904','5'
'30000','7203','5'
'30000','7204','5'
'30000','7303','5'
'30000','7304','5'
'30000','7403','5'
'30000','7404','5'
'30000','7503','5'
'30000','7504','5'
'30000','7603','5'
'30000','7604','5'
'30000','7703','5'
'30000','7704','5'
'30000','7803','5'
'30000','7804','5'
'30000','7903','5'
'30000','7904','5'
'30000','8003','5'
'30000','8004','5'
'30000','8103','5'
'30000','8104','5'
'30000','8303','5'
'30000','8304','5'
'30000','8403','5'
'30000','8404','5'
'30000','8503','5'
'30000','8504','5'
'30000','8603','5'
'30000','8604','5'
'30000','8903','5'
'30000','8904','5'
'30000','9003','5'
'30000','9004','5'
'30000','9103','5'
'30000','9104','5'
'30000','9203','5'
'30000','9204','5'
'30000','9303','5'
'30000','9304','5'
'30000','9403','5'
'30000','9404','5'
'30000','9703','5'
'30000','9704','5'
'30000','9803','5'
'30000','9804','5'
'30000','9903','5'
'30000','9904','5'
'30000','10103','5'
'30000','10104','5'
'30000','10203','5'
'30000','10204','5'
'30000','10303','5'
'30000','10304','5'
'30000','10403','5'
'30000','10404','5'
'30000','10503','5'
'30000','10504','5'
'30000','10603','5'
'30000','10604','5'
'30000','10703','5'
'30000','10704','5'
'30000','10803','5'
'30000','10804','5'
'30000','10903','5'
'30000','10904','5'
'30000','11003','5'
'30000','11004','5'
'30000','11103','5'
'30000','11104','5'
'30000','11203','5'
'30000','11204','5'
'30000','11503','5'
'30000','11504','5'
'30000','11603','5'
'30000','11604','5'
'30000','11703','5'
'30000','11704','5'
'30000','11803','5'
'30000','11804','5'
'30000','11903','5'
'30000','11904','5'
'30000','12003','5'
'30000','12004','5'
'30000','12103','5'
'30000','12104','5'
'30000','12203','5'
'30000','12204','5'
'30000','12303','5'
'30000','12304','5'
'30000','12403','5'
'30000','12404','5'
'30000','12503','5'
'30000','12504','5'
'30000','12603','5'
'30000','12604','5'
'30000','12703','5'
'30000','12704','5'
'30000','12803','5'
'30000','12804','5'
'30000','12903','5'
'30000','12904','5'
'30000','13003','5'
'30000','13004','5'
'30000','13103','5'
'30000','13104','5'
'30000','13203','5'
'30000','13204','5'
'30000','13303','5'
'30000','13304','5'
'30000','13403','5'
'30000','13404','5'
'30000','13503','5'
'30000','13504','5'
'30000','13603','5'
'30000','13604','5'
'30000','13703','5'
'30000','13704','5'
'30000','13803','5'
'30000','13804','5'
'30000','13903','5'
'30000','13904','5'
'30000','14003','5'
'30000','14004','5'
'30000','14103','5'
'30000','14104','5'
'30000','14203','5'
'30000','14204','5'
'30000','14303','5'
'30000','14304','5'
'30000','14403','5'
'30000','14404','5'
'30000','14503','5'
'30000','14504','5'
'30000','14603','5'
'30000','14604','5'
'30000','14703','5'
'30000','14704','5'
'30000','14903','5'
'30000','14904','5'
'30000','15503','5'
'30000','15504','5'
'30000','16003','5'
'30000','16004','5'
'30000','16103','5'
'30000','16104','5'
'30000','16203','5'
'30000','16204','5'
'30000','16303','5'
'30000','16304','5'
'30000','16403','5'
'30000','16404','5'
'30000','16503','5'
'30000','16504','5'
'30000','16603','5'
'30000','16604','5'
