'30000','3','1','88711'
'30000','3','2','88611'
'30000','7','1','88712'
'30000','7','2','88612'
'30000','11','1','88713'
'30000','11','2','88613'
'30000','15','1','88714'
'30000','15','2','88614'
'30000','19','1','88715'
'30000','19','2','88615'
'30000','25','1','88716'
'30000','25','2','88616'
'30000','27','1','88717'
'30000','27','2','88617'
'30000','31','1','88718'
'30000','31','2','88618'
'30000','35','1','88719'
'30000','35','2','88619'
'30000','39','1','88720'
'30000','39','2','88620'
'30000','43','1','88721'
'30000','43','2','88621'
