'30000','#','126'
'30000','#','127'
'30000','*','126'
'30000','*','127'
'30000','0','126'
'30000','00','120'
'30000','00','127'
'30000','01','127'
'30000','02','127'
'30000','03','127'
'30000','04','127'
'30000','05','127'
'30000','050','120'
'30000','053','120'
'30000','054','120'
'30000','055','120'
'30000','056','120'
'30000','057','120'
'30000','058','120'
'30000','059','120'
'30000','06','120'
'30000','06','127'
'30000','07','119'
'30000','07','127'
'30000','08','120'
'30000','09','127'
'30000','1','126'
'30000','10','127'
'30000','112','-1'
'30000','113','-1'
'30000','12','127'
'30000','13','127'
'30000','14','127'
'30000','15','127'
'30000','16','127'
'30000','17','127'
'30000','18','127'
'30000','19','127'
'30000','2','126'
'30000','2','127'
'30000','3','126'
'30000','3','127'
'30000','4','126'
'30000','4','127'
'30000','42','118'
'30000','5','126'
'30000','5','127'
'30000','6','126'
'30000','6','127'
'30000','7','126'
'30000','7','127'
'30000','8','119'
'30000','8','120'
'30000','8','125'
'30000','8','126'
'30000','8','127'
'30000','80','121'
'30000','810','123'
'30000','810','124'
'30000','82','121'
'30000','83','121'
'30000','84','121'
'30000','86','121'
'30000','87','121'
'30000','8700','122'
'30000','8700','123'
'30000','88','121'
'30000','8800','123'
'30000','89','121'
'30000','8900','122'
'30000','8900','123'
'30000','9','-1'
'30000','9','126'
'30000','9','127'
