'30000','0','4','3'
'30000','0','8','3'
'30000','1','2','1'
'30000','1','6','36'
'30000','1','7','56'
'30000','1','10','1'
'30000','2','2','16'
'30000','2','6','33'
'30000','2','7','62'
'30000','2','10','66'
'30000','3','2','17'
'30000','3','6','37'
'30000','3','7','65'
'30000','3','10','67'
'30000','4','2','4'
'30000','4','6','34'
'30000','4','7','63'
'30000','4','10','6'
'30000','5','2','18'
'30000','5','7','57'
'30000','5','10','2'
'30000','6','2','7'
'30000','6','7','58'
'30000','6','10','7'
'30000','7','2','19'
'30000','7','7','59'
'30000','7','10','3'
'30000','8','2','5'
'30000','8','7','64'
'30000','8','10','68'
'30000','9','2','20'
'30000','9','4','2'
'30000','9','7','60'
'30000','9','8','2'
'30000','9','10','69'
'30000','10','2','23'
'30000','10','4','1'
'30000','10','7','61'
'30000','10','8','56'
'30000','10','10','70'
'30000','11','3','4'
'30000','11','4','4'
'30000','11','6','38'
'30000','11','8','63'
'30000','12','4','5'
'30000','12','6','35'
'30000','12','8','64'
'30000','13','4','6'
'30000','13','6','40'
'30000','13','8','6'
'30000','14','3','1'
'30000','14','4','71'
'30000','14','6','39'
'30000','15','3','2'
'30000','15','4','7'
'30000','15','8','58'
'30000','16','4','72'
'30000','17','4','73'
'30000','201','5','19'
'30000','202','5','4'
'30000','203','5','6'
'30000','204','5','29'
'30000','205','5','2'
'30000','206','5','5'
'30000','207','5','42'
'30000','208','5','43'
'30000','209','5','44'
'30000','210','5','45'
'30000','211','5','7'
'30000','212','5','30'
'30000','213','5','31'
'30000','214','5','32'
'30000','224','4','23'
'30000','224','8','61'
'30000','225','4','16'
'30000','225','8','62'
'30000','226','4','18'
'30000','226','8','57'
'30000','227','4','19'
'30000','227','8','59'
'30000','228','4','17'
'30000','228','8','65'
'30000','229','4','20'
'30000','229','8','60'
'30000','240','4','36'
'30000','241','4','33'
'30000','242','4','37'
'30000','243','4','34'
'30000','244','4','38'
'30000','244','8','38'
'30000','245','4','35'
'30000','245','8','35'
'30000','246','4','40'
'30000','246','8','40'
'30000','247','4','39'
'30000','247','8','39'
