'30000','93',NULL,NULL,NULL,NULL,NULL,'02',NULL,NULL
'30000','94',NULL,NULL,NULL,NULL,NULL,'02',NULL,NULL
'30000','95',NULL,NULL,NULL,NULL,NULL,'09',NULL,NULL
'30000','96',NULL,NULL,NULL,NULL,NULL,'07',NULL,NULL
'30000','97',NULL,NULL,NULL,NULL,NULL,'10',NULL,NULL
'30000','98',NULL,NULL,NULL,NULL,NULL,'02',NULL,NULL
'30000','99',NULL,NULL,NULL,NULL,NULL,'02',NULL,NULL
'30000','100',NULL,NULL,NULL,NULL,NULL,'02',NULL,NULL
'30000','101',NULL,NULL,NULL,NULL,NULL,'02',NULL,NULL
'30000','102',NULL,NULL,NULL,NULL,NULL,'09',NULL,NULL
'30000','103',NULL,NULL,NULL,NULL,NULL,'07',NULL,NULL
'30000','104',NULL,NULL,NULL,NULL,NULL,'10',NULL,NULL
'30000','105',NULL,NULL,NULL,NULL,NULL,'02',NULL,NULL
'30000','106',NULL,NULL,NULL,NULL,NULL,'02',NULL,NULL
'30000','107',NULL,NULL,NULL,NULL,NULL,'02',NULL,NULL
'30000','108',NULL,NULL,NULL,NULL,NULL,'02',NULL,NULL
'30000','109',NULL,NULL,NULL,NULL,NULL,'09',NULL,NULL
'30000','110',NULL,NULL,NULL,NULL,NULL,'07',NULL,NULL
'30000','111',NULL,NULL,NULL,NULL,NULL,'10',NULL,NULL
'30000','112',NULL,NULL,NULL,NULL,NULL,'02',NULL,NULL
'30000','113',NULL,NULL,NULL,NULL,NULL,'02',NULL,NULL
