'30000','001','11','1','1','4'
'30000','002','3','1','1','4'
'30000','003','4','1','1','4'
'30000','004','5','1','1','4'
'30000','005','6','1','1','4'
'30000','006','7','1','1','4'
'30000','007','8','1','1','4'
'30000','008','9','1','1','4'
'30000','009','10','1','1','4'
'30000','010','11','2','1','4'
'30000','011','2','11','1','4'
'30000','012','3','2','1','4'
'30000','013','4','2','1','4'
'30000','014','5','2','1','4'
'30000','015','6','2','1','4'
'30000','016','7','2','1','4'
'30000','017','8','2','1','4'
'30000','018','9','2','1','4'
'30000','019','10','2','1','4'
'30000','020','1','3','1','4'
'30000','021','11','3','1','4'
'30000','022','3','11','1','4'
'30000','023','4','3','1','4'
'30000','024','5','3','1','4'
'30000','025','6','3','1','4'
'30000','026','7','3','1','4'
'30000','027','8','3','1','4'
'30000','028','9','3','1','4'
'30000','029','10','3','1','4'
'30000','030','1','4','1','4'
'30000','031','2','4','1','4'
'30000','032','11','4','1','4'
'30000','033','4','11','1','4'
'30000','034','5','4','1','4'
'30000','035','6','4','1','4'
'30000','036','7','4','1','4'
'30000','037','8','4','1','4'
'30000','038','9','4','1','4'
'30000','039','10','4','1','4'
'30000','040','1','5','1','4'
'30000','041','2','5','1','4'
'30000','042','3','5','1','4'
'30000','043','11','5','1','4'
'30000','044','5','11','1','4'
'30000','045','6','5','1','4'
'30000','046','7','5','1','4'
'30000','047','8','5','1','4'
'30000','048','9','5','1','4'
'30000','049','10','5','1','4'
'30000','050','1','6','1','4'
'30000','051','2','6','1','4'
'30000','052','3','6','1','4'
'30000','053','4','6','1','4'
'30000','054','11','6','1','4'
'30000','055','6','11','1','4'
'30000','056','7','6','1','4'
'30000','057','8','6','1','4'
'30000','058','9','6','1','4'
'30000','059','10','6','1','4'
'30000','060','1','7','1','4'
'30000','061','2','7','1','4'
'30000','062','3','7','1','4'
'30000','063','4','7','1','4'
'30000','064','5','7','1','4'
'30000','065','11','7','1','4'
'30000','066','7','11','1','4'
'30000','067','8','7','1','4'
'30000','068','9','7','1','4'
'30000','069','10','7','1','4'
'30000','070','1','8','1','4'
'30000','071','2','8','1','4'
'30000','072','3','8','1','4'
'30000','073','4','8','1','4'
'30000','074','5','8','1','4'
'30000','075','6','8','1','4'
'30000','076','11','8','1','4'
'30000','077','8','11','1','4'
'30000','078','9','8','1','4'
'30000','079','10','8','1','4'
'30000','080','1','9','1','4'
'30000','081','2','9','1','4'
'30000','082','3','9','1','4'
'30000','083','4','9','1','4'
'30000','084','5','9','1','4'
'30000','085','6','9','1','4'
'30000','086','7','9','1','4'
'30000','087','11','9','1','4'
'30000','088','9','11','1','4'
'30000','089','10','9','1','4'
'30000','090','1','10','1','4'
'30000','091','2','10','1','4'
'30000','092','3','10','1','4'
'30000','093','4','10','1','4'
'30000','094','5','10','1','4'
'30000','095','6','10','1','4'
'30000','096','7','10','1','4'
'30000','097','8','10','1','4'
'30000','098','11','10','1','4'
'30000','099','1','11','1','4'
'30000','100','2','1','1','4'
'30000','101','1','2','1','4'
'30000','102','2','3','1','4'
'30000','103','3','4','1','4'
'30000','104','4','5','1','4'
'30000','105','5','6','1','4'
'30000','106','6','7','1','4'
'30000','107','7','8','1','4'
'30000','108','8','9','1','4'
'30000','109','9','10','1','4'
'30000','110','10','11','1','4'
'30000','113','585','25','1','3'
'30000','114','795','25','1','3'
'30000','115','1080','25','1','3'
'30000','116','1470','25','1','3'
'30000','117','2000','25','1','3'
'30000','123','585','40','1','3'
'30000','124','795','40','1','3'
'30000','125','1080','40','1','3'
'30000','126','1470','40','1','3'
'30000','127','2000','40','1','3'
'30000','133','585','60','1','3'
'30000','134','795','60','1','3'
'30000','135','1080','60','1','3'
'30000','136','1470','60','1','3'
'30000','137','2000','60','1','3'
'30000','143','585','90','1','3'
'30000','144','795','90','1','3'
'30000','145','1080','90','1','3'
'30000','146','1470','90','1','3'
'30000','147','2000','90','1','3'
'30000','200','18','18','0','2'
'30000','201','3','18','0','2'
'30000','202','7','18','0','2'
'30000','203','8','18','0','2'
'30000','204','15','18','0','2'
'30000','205','20','18','0','2'
'30000','206','21','18','0','2'
'30000','207','10','18','0','2'
'30000','208','13','18','0','2'
'30000','209','17','18','0','2'
'30000','210','18','3','0','2'
'30000','211','3','3','0','2'
'30000','212','7','3','0','2'
'30000','213','8','3','0','2'
'30000','214','15','3','0','2'
'30000','215','20','3','0','2'
'30000','216','21','3','0','2'
'30000','217','10','3','0','2'
'30000','218','13','3','0','2'
'30000','219','17','3','0','2'
'30000','220','18','7','0','2'
'30000','221','3','7','0','2'
'30000','222','7','7','0','2'
'30000','223','8','7','0','2'
'30000','224','15','7','0','2'
'30000','225','20','7','0','2'
'30000','226','21','7','0','2'
'30000','227','10','7','0','2'
'30000','228','13','7','0','2'
'30000','229','17','7','0','2'
'30000','230','18','8','0','2'
'30000','231','3','8','0','2'
'30000','232','7','8','0','2'
'30000','233','8','8','0','2'
'30000','234','15','8','0','2'
'30000','235','20','8','0','2'
'30000','236','21','8','0','2'
'30000','237','10','8','0','2'
'30000','238','13','8','0','2'
'30000','239','17','8','0','2'
'30000','240','18','15','0','2'
'30000','241','3','15','0','2'
'30000','242','7','15','0','2'
'30000','243','8','15','0','2'
'30000','244','15','15','0','2'
'30000','245','20','15','0','2'
'30000','246','21','15','0','2'
'30000','247','10','15','0','2'
'30000','248','13','15','0','2'
'30000','249','17','15','0','2'
'30000','250','18','20','0','2'
'30000','251','3','20','0','2'
'30000','252','7','20','0','2'
'30000','253','8','20','0','2'
'30000','254','15','20','0','2'
'30000','255','20','20','0','2'
'30000','256','21','20','0','2'
'30000','257','10','20','0','2'
'30000','258','13','20','0','2'
'30000','259','17','20','0','2'
'30000','260','18','10','0','2'
'30000','261','3','21','0','2'
'30000','262','7','21','0','2'
'30000','263','8','21','0','2'
'30000','264','15','21','0','2'
'30000','265','20','21','0','2'
'30000','266','21','21','0','2'
'30000','267','10','21','0','2'
'30000','268','13','21','0','2'
'30000','269','17','21','0','2'
'30000','270','18','10','0','2'
'30000','271','3','10','0','2'
'30000','272','7','10','0','2'
'30000','273','8','10','0','2'
'30000','274','15','10','0','2'
'30000','275','20','10','0','2'
'30000','276','21','10','0','2'
'30000','277','10','10','0','2'
'30000','278','13','10','0','2'
'30000','279','17','10','0','2'
'30000','280','18','13','0','2'
'30000','281','3','13','0','2'
'30000','282','7','13','0','2'
'30000','283','8','13','0','2'
'30000','284','15','13','0','2'
'30000','285','20','13','0','2'
'30000','286','21','13','0','2'
'30000','287','10','13','0','2'
'30000','288','13','13','0','2'
'30000','289','17','13','0','2'
'30000','290','18','17','0','2'
'30000','291','3','17','0','2'
'30000','292','7','17','0','2'
'30000','293','8','17','0','2'
'30000','294','15','17','0','2'
'30000','295','20','17','0','2'
'30000','296','21','17','0','2'
'30000','297','10','17','0','2'
