'30000','1','-1','-1',NULL,'-1','5',NULL,NULL
'30000','1','0','-1','.....','0','5',NULL,NULL
'30000','2','-1','-1',NULL,'-1','5',NULL,NULL
'30000','2','0','-1','.....','0','5',NULL,NULL
'30000','3','-1','-1',NULL,'-1','5',NULL,NULL
'30000','3','0','-1','.....','0','5',NULL,NULL
'30000','4','-1','-1',NULL,'-1','5',NULL,NULL
'30000','4','0','-1','.....','0','5',NULL,NULL
'30000','5','-1','-1',NULL,'-1','5',NULL,NULL
'30000','5','0','-1','.....','0','5',NULL,NULL
'30000','6','-1','-1',NULL,'-1','5',NULL,NULL
'30000','6','0','-1','.....','0','5',NULL,NULL
'30000','7','-1','-1',NULL,'-1','5',NULL,NULL
'30000','7','0','-1','.....','0','5',NULL,NULL
'30000','8','-1','-1',NULL,'-1','5',NULL,NULL
'30000','8','0','-1','.....','0','5',NULL,NULL
'30000','9','-1','-1',NULL,'-1','5',NULL,NULL
'30000','9','0','-1','.....','0','5',NULL,NULL
'30000','10','-1','-1',NULL,'-1','5',NULL,NULL
'30000','10','0','-1','.....','0','5',NULL,NULL
'30000','11','-1','-1',NULL,'-1','5',NULL,NULL
'30000','11','0','-1','.....','0','5',NULL,NULL
'30000','12','-1','-1',NULL,'-1','5',NULL,NULL
'30000','12','0','-1','.....','0','5',NULL,NULL
'30000','13','-1','-1',NULL,'-1','5',NULL,NULL
'30000','13','0','-1','.....','0','5',NULL,NULL
'30000','14','-1','-1',NULL,'-1','5',NULL,NULL
'30000','14','0','-1','.....','0','5',NULL,NULL
'30000','15','-1','-1',NULL,'-1','5',NULL,NULL
'30000','15','0','-1','.....','0','5',NULL,NULL
'30000','16','-1','-1',NULL,'-1','5',NULL,NULL
'30000','16','0','-1','.....','0','5',NULL,NULL
'30000','17','-1','-1',NULL,'-1','5',NULL,NULL
'30000','17','0','-1','.....','0','5',NULL,NULL
'30000','18','-1','-1',NULL,'-1','5',NULL,NULL
'30000','18','0','-1','.....','0','5',NULL,NULL
'30000','19','-1','-1',NULL,'-1','5',NULL,NULL
'30000','19','0','-1','.....','0','5',NULL,NULL
'30000','20','-1','-1',NULL,'-1','5',NULL,NULL
'30000','21','-1','-1',NULL,'-1','5',NULL,NULL
'30000','22','-1','-1',NULL,'-1','5',NULL,NULL
'30000','23','-1','-1',NULL,'-1','5',NULL,NULL
'30000','24','-1','-1',NULL,'-1','5',NULL,NULL
'30000','25','-1','-1',NULL,'-1','5',NULL,NULL
'30000','25','0','-1','.....','0','5',NULL,NULL
'30000','26','-1','-1',NULL,'-1','5',NULL,NULL
'30000','26','0','-1','.....','0','5',NULL,NULL
'30000','27','-1','-1',NULL,'-1','5',NULL,NULL
'30000','27','0','-1','.....','0','5',NULL,NULL
'30000','28','-1','-1',NULL,'-1','5',NULL,NULL
'30000','28','0','-1','.....','0','5',NULL,NULL
'30000','29','-1','-1',NULL,'-1','5',NULL,NULL
'30000','29','0','-1','.....','0','5',NULL,NULL
'30000','30','-1','-1',NULL,'-1','5',NULL,NULL
'30000','30','0','-1','.....','0','5',NULL,NULL
'30000','31','-1','-1',NULL,'-1','5',NULL,NULL
'30000','31','0','-1','.....','0','5',NULL,NULL
'30000','32','-1','-1',NULL,'-1','5',NULL,NULL
'30000','32','0','-1','.....','0','5',NULL,NULL
'30000','33','-1','-1',NULL,'-1','5',NULL,NULL
'30000','33','0','-1','.....','0','5',NULL,NULL
'30000','34','-1','-1',NULL,'-1','5',NULL,NULL
'30000','34','0','-1','.....','0','5',NULL,NULL
'30000','35','-1','-1',NULL,'-1','5',NULL,NULL
'30000','35','0','-1','.....','0','5',NULL,NULL
'30000','36','-1','-1',NULL,'-1','5',NULL,NULL
'30000','36','0','-1','.....','0','5',NULL,NULL
'30000','37','-1','-1',NULL,'-1','5',NULL,NULL
'30000','37','0','-1','.....','0','5',NULL,NULL
'30000','38','-1','-1',NULL,'-1','5',NULL,NULL
'30000','38','0','-1','.....','0','5',NULL,NULL
'30000','39','-1','-1',NULL,'-1','5',NULL,NULL
'30000','40','-1','-1',NULL,'-1','5',NULL,NULL
'30000','41','-1','-1',NULL,'-1','5',NULL,NULL
'30000','41','0','-1','.....','0','5',NULL,NULL
'30000','42','-1','-1',NULL,'-1','5',NULL,NULL
'30000','42','0','-1','.....','0','5',NULL,NULL
'30000','43','-1','-1',NULL,'-1','5',NULL,NULL
'30000','43','0','-1','.....','0','5',NULL,NULL
'30000','44','-1','-1',NULL,'-1','5',NULL,NULL
'30000','44','0','-1','.....','0','5',NULL,NULL
'30000','45','-1','-1',NULL,'-1','5',NULL,NULL
'30000','45','0','-1','....','0','5',NULL,NULL
'30000','46','-1','-1',NULL,'-1','5',NULL,NULL
'30000','46','0','-1','.....','0','5',NULL,NULL
'30000','47','-1','-1',NULL,'-1','5',NULL,NULL
'30000','47','0','-1','.....','0','5',NULL,NULL
'30000','48','-1','-1',NULL,'-1','5',NULL,NULL
'30000','80','-1','-1',NULL,'-1','5',NULL,NULL
'30000','81','-1','-1',NULL,'-1','5',NULL,NULL
