'30000','1','PIA_1_1','0'
'30000','2','PIA_1_2','0'
'30000','3','PIA_1_5','0'
'30000','4','PIA_1_6','0'
'30000','5','PIA_2_1','0'
'30000','6','PIA_2_2','0'
'30000','7','PIA_2_5','0'
'30000','8','PIA_2_6','0'
'30000','9','201','0'
'30000','10','102','0'
'30000','11','202','0'
'30000','12','PIA_3_1','0'
'30000','13','PIA_3_2','0'
'30000','14','PIA_3_5','0'
'30000','15','PIA_3_6','0'
'30000','16','103','0'
'30000','17','203','0'
'30000','18','PIA_4_1','0'
'30000','19','PIA_4_2','0'
'30000','20','PIA_4_5','0'
'30000','21','PIA_4_6','0'
'30000','22','104','0'
'30000','23','204','0'
'30000','24','PIA_5_1','0'
'30000','25','PIA_5_2','0'
'30000','26','PIA_5_5','0'
'30000','27','PIA_5_6','0'
'30000','28','301','0'
'30000','29','401','0'
'30000','30','PIA_6_1','0'
'30000','31','PIA_6_2','0'
'30000','32','PIA_6_5','0'
'30000','33','PIA_6_6','0'
'30000','34','302','0'
'30000','35','402','0'
'30000','36','PIA_1_3','0'
'30000','37','PIA_1_4','0'
'30000','38','PIA_1_7','0'
'30000','39','PIA_1_8','0'
'30000','40','303','0'
'30000','41','403','0'
'30000','42','PIA_2_3','0'
'30000','43','PIA_2_4','0'
'30000','44','PIA_2_7','0'
'30000','45','PIA_2_8','0'
'30000','46','PIA_3_3','0'
'30000','47','PIA_3_4','0'
'30000','48','PIA_3_7','0'
'30000','49','PIA_3_8','0'
'30000','50','PIA_4_3','0'
'30000','51','PIA_4_4','0'
'30000','52','PIA_4_7','0'
'30000','53','PIA_4_8','0'
'30000','54','PIA_5_3','0'
'30000','55','PIA_5_4','0'
'30000','56','PIA_5_7','0'
'30000','57','PIA_5_8','0'
'30000','58','304','0'
'30000','59','404','0'
'30000','60','PIA_6_3','0'
'30000','61','PIA_6_4','0'
'30000','62','PIA_6_7','0'
'30000','63','PIA_6_8','0'
'30000','64','501','0'
'30000','65','601','0'
'30000','66','502','0'
'30000','67','602','0'
'30000','68','503','0'
'30000','69','603','0'
'30000','70','conf','0'
'30000','80','DSS1_to_MED20','0'
'30000','81','DSS1_to_MED20_rez','0'
'30000','101','101','0'
