'30000','0','0','0'
'30000','1','1','1'
'30000','1','2','2'
'30000','1','3','3'
'30000','3','1','4'
'30000','3','2','5'
'30000','3','3','6'
'30000','2','1','7'
'30000','2','2','8'
'30000','2','3','9'
'30000','4','4','10'
'30000','5','4','11'
'30000','4','6','12'
'30000','4','7','13'
'30000','6','1','14'
'30000','6','2','15'
'30000','6','3','16'
'30000','7','1','17'
'30000','7','2','18'
'30000','7','3','19'
