'30000','0','0','0','3','120',NULL
'30000','2','0','4','4','120',NULL
'30000','21','0','4','3','120',NULL
'30000','44','0','0','4','120',NULL
'30000','2','1','4','8','120',NULL
'30000','13','1','4','2','120',NULL
'30000','15','1','4','2','120',NULL
'30000','44','1','0','4','120',NULL
'30000','2','2','4','5','120',NULL
'30000','13','2','4','3','120',NULL
'30000','15','2','4','3','120',NULL
'30000','44','2','0','7','120',NULL
'30000','2','3','4','4','120',NULL
'30000','13','3','4','4','120',NULL
'30000','28','3','4','3','120',NULL
'30000','44','3','0','7','120',NULL
'30000','2','4','0','2','120',NULL
'30000','28','4','4','4','120',NULL
'30000','28','5','4','5','120',NULL
