'30000','3','251','1','1','8','0'
'30000','3','255','1','9','0','0'
'30000','4','1','2','128','2','8'
'30000','4','2','2','8','7','0'
'30000','4','9','2','0','130','8'
'30000','4','11','2','0','8','0'
'30000','5','251','1','1','8','0'
'30000','5','255','1','9','0','0'
'30000','6','1','2','128','2','8'
'30000','6','2','2','8','7','0'
'30000','6','9','2','0','130','8'
'30000','6','11','2','0','8','0'
'30000','7','239','1','1','8','0'
'30000','7','255','1','9','0','0'
'30000','8','1','2','130','0','8'
'30000','8','2','2','8','7','0'
'30000','8','9','2','2','128','8'
'30000','8','11','2','0','8','0'
'30000','9','239','1','3','12','0'
'30000','9','247','1','5','10','0'
'30000','9','251','1','6','9','0'
'30000','9','255','1','9','6','0'
'30000','10','2','2','8','7','0'
'30000','10','3','2','163','80','8'
'30000','10','5','2','147','96','8'
'30000','10','6','2','131','112','8'
'30000','10','9','2','51','192','8'
'30000','10','11','2','0','8','0'
'30000','11','0','1','1','14','0'
'30000','11','1','1','9','6','0'
'30000','12','1','2','9','0','0'
'30000','12','2','2','8','0','0'
'30000','12','9','2','0','1','0'
'30000','12','11','2','0','8','0'
'30000','13','0','1','1','14','0'
'30000','13','1','1','1','14','0'
'30000','13','2','1','9','6','0'
'30000','13','3','1','1','14','0'
'30000','14','1','2','8','7','0'
'30000','14','5','2','9','6','0'
'30000','14','9','2','4','11','0'
'30000','14','11','2','8','0','0'
'30000','14','13','2','5','10','0'
'30000','19','0','1','1','14','0'
'30000','19','1','1','1','14','0'
'30000','19','2','1','9','6','0'
'30000','19','3','1','9','6','0'
'30000','20','1','2','6','1','0'
'30000','20','3','2','4','3','0'
'30000','20','5','2','8','3','0'
'30000','20','9','2','4','11','0'
'30000','20','13','2','0','7','0'
'30000','21','0','1','1','14','0'
'30000','21','1','1','1','14','0'
'30000','21','2','1','9','6','0'
'30000','21','3','1','9','6','0'
'30000','22','1','2','6','1','0'
'30000','22','3','2','4','3','0'
'30000','22','5','2','8','3','0'
'30000','22','9','2','4','11','0'
'30000','22','13','2','0','7','0'
'30000','23','0','1','1','14','0'
'30000','23','1','1','1','14','0'
'30000','23','2','1','1','14','0'
'30000','23','3','1','1','14','0'
'30000','24','1','2','8','7','0'
'30000','24','9','2','0','15','0'
'30000','24','13','2','8','7','0'
'30000','25','0','1','13','2','0'
'30000','25','1','1','13','2','0'
'30000','25','2','1','5','10','0'
'30000','25','3','1','5','10','0'
'30000','26','1','2','9','6','0'
'30000','26','13','2','0','15','0'
'30000','27','0','1','9','6','0'
'30000','27','1','1','9','6','0'
'30000','27','2','1','9','6','0'
'30000','27','3','1','9','6','0'
'30000','28','1','2','9','2','0'
'30000','28','5','2','11','0','0'
'30000','28','8','2','8','3','0'
'30000','28','9','2','0','11','0'
'30000','28','13','2','10','1','0'
'30000','29','0','1','5','10','0'
'30000','29','1','1','13','2','0'
'30000','30','1','2','9','6','0'
'30000','30','13','2','0','15','0'
