'30000','10','1','0','Subscriber Contact','0','0','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','29'
'30000','10','1','1','Subscriber Contact','0','0','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','29'
'30000','10','1','2','Subscriber Contact','0','0','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','29'
'30000','11','0','0','A_SND1VF 2600P','0','8','255','2','255','251','255','0','0','0','0','0','1','0','1','0','0','0','3'
'30000','11','0','1','A_SND1VF 2600P','0','8','255','2','255','251','255','0','0','0','0','0','1','0','1','0','0','0','3'
'30000','11','0','2','A_SND1VF 2600P','0','8','255','2','255','251','255','0','0','0','0','0','1','0','1','0','0','0','3'
'30000','11','1','0','A_SND1VF 2600P with SeizAckn signal','0','8','255','2','255','251','255','0','0','0','0','0','1','0','1','0','0','0','3'
'30000','11','1','1','A_SND1VF 2600P with SeizAckn signal','0','8','255','2','255','251','255','0','0','0','0','0','1','0','1','0','0','0','3'
'30000','11','1','2','A_SND1VF 2600P with SeizAckn signal','0','8','255','2','255','251','255','0','0','0','0','0','1','0','1','0','0','0','3'
'30000','11','2','0','A_SND1VF 2600P with FRLS signal','0','8','255','2','255','251','255','0','0','0','0','0','1','0','1','0','0','0','3'
'30000','11','2','1','A_SND1VF 2600P with FRLS signal','0','8','255','2','255','251','255','0','0','0','0','0','1','0','1','0','0','0','3'
'30000','11','2','2','A_SND1VF 2600P with FRLS signal','0','8','255','2','255','251','255','0','0','0','0','0','1','0','1','0','0','0','3'
'30000','12','0','0','A_SND1VF 2100M variant 0','0','8','255','2','255','251','255','0','0','0','0','0','0','0','1','0','0','0','5'
'30000','12','0','1','A_SND1VF 2100M variant 0','0','8','255','2','255','251','255','0','0','0','0','0','0','0','1','0','0','0','5'
'30000','12','0','2','A_SND1VF 2100M variant 0','0','8','255','2','255','251','255','0','0','0','0','0','0','0','1','0','0','0','5'
'30000','12','1','0','A_SND1VF 2100M variant 1','0','8','255','2','255','251','255','0','0','0','0','0','0','0','1','0','0','0','5'
'30000','12','1','1','A_SND1VF 2100M variant 1','0','8','255','2','255','251','255','0','0','0','0','0','0','0','1','0','0','0','5'
'30000','12','1','2','A_SND1VF 2100M variant 1','0','8','255','2','255','251','255','0','0','0','0','0','0','0','1','0','0','0','5'
'30000','12','2','0','A_SND1VF 2100M variant 2','0','8','255','2','255','251','255','0','0','0','0','0','0','0','1','0','0','0','5'
'30000','12','2','1','A_SND1VF 2100M variant 2','0','8','255','2','255','251','255','0','0','0','0','0','0','0','1','0','0','0','5'
'30000','12','2','2','A_SND1VF 2100M variant 2','0','8','255','2','255','251','255','0','0','0','0','0','0','0','1','0','0','0','5'
'30000','12','3','0','A_SND1VF 2100M without clearing signals','0','8','255','2','255','251','255','0','0','0','0','0','0','0','1','0','0','0','5'
'30000','12','3','1','A_SND1VF 2100M without clearing signals','0','8','255','2','255','251','255','0','0','0','0','0','0','0','1','0','0','0','5'
'30000','12','3','2','A_SND1VF 2100M without clearing signals','0','8','255','2','255','251','255','0','0','0','0','0','0','0','1','0','0','0','5'
'30000','13','0','0','A_SND2VF1200_1600','0','0','255','2','255','239','255','0','0','0','0','0','3','0','1','0','0','0','9'
'30000','13','0','1','A_SND2VF1200_1600','0','0','255','2','255','239','255','0','0','0','0','0','3','0','1','0','0','0','9'
'30000','13','0','2','A_SND2VF1200_1600','0','0','255','2','255','239','255','0','0','0','0','0','3','0','1','0','0','0','9'
'30000','13','1','0','A_SND2VF1200_1600 variant with FRLS signal','0','0','255','2','255','239','255','0','0','0','0','0','3','0','1','0','0','0','9'
'30000','13','1','1','A_SND2VF1200_1600 variant with FRLS signal','0','0','255','2','255','239','255','0','0','0','0','0','3','0','1','0','0','0','9'
'30000','13','1','2','A_SND2VF1200_1600 variant with FRLS signal','0','0','255','2','255','239','255','0','0','0','0','0','3','0','1','0','0','0','9'
'30000','15','0','0','A_EMM variant 0','0','0','3','2','128','127','255','0','0','0','0','0','0','0','0','0','0','0','11'
'30000','15','0','1','A_EMM variant 0','0','0','3','2','128','127','255','0','0','0','0','0','0','0','0','0','0','0','11'
'30000','15','0','2','A_EMM variant 0','0','0','3','2','128','127','255','0','0','0','0','0','0','0','0','0','0','0','11'
'30000','15','1','0','A_EMM variant 1','0','0','3','2','128','127','255','0','0','0','0','0','0','0','0','0','0','0','11'
'30000','15','1','1','A_EMM variant 1','0','0','3','2','128','127','255','0','0','0','0','0','0','0','0','0','0','0','11'
'30000','15','1','2','A_EMM variant 1','0','0','3','2','128','127','255','0','0','0','0','0','0','0','0','0','0','0','11'
'30000','15','2','0','A_EMM variant 2','0','0','3','2','128','127','255','0','0','0','0','0','0','0','0','0','0','0','11'
'30000','15','2','1','A_EMM ariant 2','0','0','3','2','128','127','255','0','0','0','0','0','0','0','0','0','0','0','11'
'30000','15','2','2','A_EMM variant 2','0','0','2355','2','128','127','255','0','0','0','0','0','0','0','0','0','0','0','11'
'30000','15','3','0','A_EMM without clearing signals','0','0','3','2','128','127','255','0','0','0','0','0','0','0','0','0','0','0','11'
'30000','15','3','1','A_EMM without clearing signals','0','0','3','2','128','127','255','0','0','0','0','0','0','0','0','0','0','0','11'
'30000','15','3','2','A_EMM without clearing signals','0','0','3','2','128','127','255','0','0','0','0','0','0','0','0','0','0','0','11'
'30000','16','0','0','basic variant','0','0','255','2','128','127','255','0','0','0','0','20','0','0','0','0','0','0','1'
'30000','16','0','1','basic variant','0','0','255','2','128','127','255','0','0','0','0','20','0','0','0','0','0','0','1'
'30000','16','0','2','basic variant','0','0','255','2','128','127','255','0','0','0','0','20','0','0','0','0','0','0','1'
'30000','17','0','0','A_SND1VF 2100P','0','8','255','2','255','251','255','0','0','0','0','0','0','0','1','0','0','0','5'
'30000','17','0','1','A_SND1VF 2100P','0','8','255','2','255','251','255','0','0','0','0','0','0','0','1','0','0','0','5'
'30000','17','0','2','A_SND1VF 2100P','0','8','255','2','255','251','255','0','0','0','0','0','0','0','1','0','0','0','5'
'30000','17','1','0','A_SND1VF 2100P with FRLS signal','0','8','255','2','255','251','255','0','0','0','0','0','0','0','1','0','0','0','5'
'30000','17','1','1','A_SND1VF 2100P with FRLS signal','0','8','255','2','255','251','255','0','0','0','0','0','0','0','1','0','0','0','5'
