'30000','0','Own','0',NULL,NULL,NULL,NULL,NULL,NULL
'30000','1','LOOPBACK Incoming Node','3',NULL,NULL,NULL,NULL,'75',NULL
'30000','2','LOOPBACK Outgoing Node','4',NULL,NULL,NULL,NULL,'74',NULL
