'19362','0','1','1','5','7'
'19362','1','2','2','5','18'
'19362','2','2','3','7','18'
'19362','3','2','4','10','18'
'19362','4','2','5','1','18'
'19362','5','2','6','1','18'
'19362','6','18','2','1','18'
'19362','7','18','3','1','18'
'19362','8','18','4','1','18'
'19362','9','18','5','1','18'
'19362','10','18','6','1','18'
'19362','11','3','255','0','0'
'19362','12','3','255','255','255'
'19362','13','1','6','1','3'
