'19362','0','0','0'
'19362','1','1','1'
'19362','1','2','2'
'19362','1','3','3'
'19362','3','1','4'
'19362','3','2','5'
'19362','3','3','6'
'19362','2','1','7'
'19362','2','2','8'
'19362','2','3','9'
'19362','4','4','10'
'19362','5','4','11'
'19362','4','6','12'
'19362','4','7','13'
'19362','6','1','14'
'19362','6','2','15'
'19362','6','3','16'
'19362','7','1','17'
'19362','7','2','18'
'19362','7','3','19'
