'19362','1','8','11','24090',NULL
'19362','3','2','9','84955392788',NULL
'19362','4','2','9','84955392788',NULL
'19362','57','2','9','37788',NULL
'19362','66','8','9','89232665577',NULL
'19362','152','2','9','89133471132',NULL
'19362','296','2','10','89233842575',NULL
'19362','322','2','11','66767',NULL
'19362','517','2','9','89059207771',NULL
'19362','565','2','9','89833690366',NULL
'19362','588','2','9','89235557002',NULL
'19362','644','8','9','89059206315',NULL
'19362','644','8','10','89059206315',NULL
'19362','649','8','9','26167',NULL
'19362','736','2','9','89232648040',NULL
