'19362','0','0','1','0'
'19362','1','0','1','1'
'19362','2','0','1','2'
'19362','3','0','1','3'
'19362','4','0','1','4'
'19362','5','0','1','5'
'19362','6','0','1','6'
'19362','7','0','1','7'
'19362','8','0','1','8'
'19362','9','0','1','9'
'19362','10','0','1','10'
'19362','11','0','1','11'
'19362','12','0','1','12'
'19362','13','0','1','13'
'19362','14','0','1','14'
'19362','15','0','1','15'
'19362','16','0','1','16'
'19362','17','0','1','17'
'19362','18','0','1','18'
'19362','19','0','1','19'
'19362','20','0','1','20'
'19362','21','0','1','21'
'19362','22','0','1','22'
'19362','23','0','1','23'
'19362','24','0','1','24'
'19362','25','0','1','25'
'19362','26','0','1','26'
'19362','27','0','1','27'
'19362','28','0','1','28'
'19362','29','0','1','29'
'19362','30','0','1','30'
'19362','31','0','1','31'
