'19362','0','0','0','4'
'19362','1','19','1','0'
'19362','2','9','1','0'
'19362','3','7','1','0'
'19362','4','10','1','0'
'19362','5','20','1','0'
'19362','6','17','1','1'
'19362','7','7','1','0'
'19362','8','7','1','0'
