'19362','93',NULL,NULL,NULL,NULL,NULL,'02',NULL,NULL
'19362','94',NULL,NULL,NULL,NULL,NULL,'02',NULL,NULL
'19362','95',NULL,NULL,NULL,NULL,NULL,'09',NULL,NULL
'19362','96',NULL,NULL,NULL,NULL,NULL,'07','0',NULL
'19362','97',NULL,NULL,NULL,NULL,NULL,'10',NULL,NULL
'19362','98',NULL,NULL,NULL,NULL,NULL,'02','0',NULL
'19362','99',NULL,NULL,NULL,NULL,NULL,'02','0',NULL
'19362','100',NULL,NULL,NULL,NULL,NULL,'02',NULL,NULL
'19362','101',NULL,NULL,NULL,NULL,NULL,'02',NULL,NULL
'19362','102',NULL,NULL,NULL,NULL,NULL,'09',NULL,NULL
'19362','103',NULL,NULL,NULL,NULL,NULL,'07','0',NULL
'19362','104',NULL,NULL,NULL,NULL,NULL,'10',NULL,NULL
'19362','105',NULL,NULL,NULL,NULL,NULL,'02','0',NULL
'19362','106',NULL,NULL,NULL,NULL,NULL,'02','0',NULL
'19362','107',NULL,NULL,NULL,NULL,NULL,'02',NULL,NULL
'19362','108',NULL,NULL,NULL,NULL,NULL,'02',NULL,NULL
'19362','109',NULL,NULL,NULL,NULL,NULL,'09',NULL,NULL
'19362','110',NULL,NULL,NULL,NULL,NULL,'07','0',NULL
'19362','111',NULL,NULL,NULL,NULL,NULL,'10',NULL,NULL
'19362','112',NULL,NULL,NULL,NULL,NULL,'02','0',NULL
'19362','113',NULL,NULL,NULL,NULL,NULL,'02','0',NULL
