'19362','1','0',NULL,'1','154','0'
'19362','2','0',NULL,'1','156','0'
'19362','3','0',NULL,'1','158','0'
'19362','4','0',NULL,'1','160','0'
'19362','5','0',NULL,'1','162','0'
'19362','6','0',NULL,'1','166','0'
'19362','7','0',NULL,'1','168','0'
'19362','8','0',NULL,'1','129','0'
'19362','9','0',NULL,'1','153','0'
'19362','10','0',NULL,'1','155','0'
'19362','11','0',NULL,'1','223','0'
'19362','12','1',NULL,'1','166','0'
'19362','13','0',NULL,'1','241','0'
'19362','14','0',NULL,'1','161','0'
'19362','15','0',NULL,'1','242','0'
'19362','16','0',NULL,'1','243','0'
'19362','21','0',NULL,'1','324','0'
'19362','22','0',NULL,'1','164','0'
'19362','23','0',NULL,'1','157','0'
'19362','24','0',NULL,'1','159','0'
'19362','25','0',NULL,'1','336','0'
'19362','26','0',NULL,'1','337','0'
'19362','27','0',NULL,'1','338','0'
'19362','28','0',NULL,'1','339','0'
'19362','29','0',NULL,'1','348','0'
