'28113','1','32','0','4','0','0','0','0','1','-32512','0'
'28113','2','32','0','700','0','0','0','0','1','-32512','0'
'28113','3','32','0','3','0','0','0','0','1','-32512','0'
'28113','4','32','0','1','0','0','0','0','1','-32512','0'
'28113','5','32','0','3','0','0','0','0','1','-32512','0'
'28113','7','32','0','1','0','0','0','0','1','-32512','0'
'28113','8','32','0','2','0','0','0','0','1','-32512','0'
'28113','9','32','0','2','0','0','0','0','1','-32512','0'
'28113','10','32','0','2','0','0','0','0','1','-32512','0'
'28113','11','32','0','2','1','0','0','0','1','-32512','0'
'28113','12','32','0','2','1','0','0','0','1','-32512','0'
'28113','13','32','0','4','0','0','0','0','1','-32512','0'
'28113','38','32','0','900','0','0','0','0','1','-32512','0'
'28113','55','32','0','55','0','0','0','0','1','-32512','0'
'28113','58','32','0','58','0','0','0','0','1','-32512','0'
'28113','60','32','0','121','0','0','0','0','1','-32512','0'
'28113','61','32','0','61','0','0','0','0','1','-32512','0'
'28113','66','32','0','66','0','0','0','0','1','-32512','0'
'28113','67','32','0','67','0','0','0','0','1','-32512','0'
'28113','69','32','0','69','0','0','0','0','1','-32512','0'
'28113','70','32','0','70','0','0','0','0','1','-32512','0'
'28113','73','32','0','70','0','0','0','0','1','-32512','0'
'28113','74','32','0','75','0','0','0','0','1','-32512','0'
'28113','115','32','0','75','0','0','0','0','1','-32512','0'
'28113','121','32','0','1','0','0','0','0','1','-32512','0'
'28113','292','32','0','1','0','0','0','0','1','-32512','0'
'28113','303','32','0','770','0','0','0','0','1','-32512','0'
'28113','455','32','0','55','0','0','0','0','1','-32512','0'
'28113','460','32','0','1','0','0','0','0','1','-32512','0'
'28113','461','32','0','61','0','0','0','0','1','-32512','0'
'28113','464','32','0','1','0','0','0','0','1','-32512','0'
'28113','465','32','0','1','0','0','0','0','1','-32512','0'
'28113','466','32','0','66','0','0','0','0','1','-32512','0'
'28113','467','32','0','67','0','0','0','0','1','-32512','0'
'28113','469','32','0','69','0','0','0','0','1','-32512','0'
'28113','470','32','0','70','0','0','0','0','1','-32512','0'
'28113','473','32','0','70','0','0','0','0','1','-32512','0'
'28113','475','32','0','75','0','0','0','0','1','-32512','0'
'28113','477','32','0','1','0','0','0','0','1','-32512','0'
'28113','478','32','0','1','0','0','0','0','1','-32512','0'
'28113','492','32','0','55','0','0','0','0','1','-32512','0'
'28113','493','32','0','70','0','0','0','0','1','-32512','0'
'28113','500','32','0','50','0','0','0','0','1','-32512','0'
'28113','501','32','0','50','0','0','0','0','1','-32512','0'
'28113','505','32','0','121','0','0','0','0','1','-32512','0'
'28113','506','32','0','121','0','0','0','0','1','-32512','0'
'28113','529','32','0','121','0','0','0','0','1','-32512','0'
'28113','600','32','0','1','0','0','0','0','1','-32512','0'
'28113','601','32','0','601','0','0','0','0','1','-32512','0'
'28113','602','32','0','602','0','0','0','0','1','-32512','0'
'28113','603','32','0','603','0','0','0','0','1','-32512','0'
'28113','604','32','0','604','0','0','0','0','1','-32512','0'
'28113','605','32','0','605','0','0','0','0','1','-32512','0'
'28113','646','32','0','5','0','0','0','0','0','-32512','0'
'28113','650','32','0','69','0','0','0','0','1','-32512','0'
'28113','750','32','0','75','0','0','0','0','1','-32512','0'
'28113','769','32','0','50','0','0','0','0','1','-32512','0'
'28113','770','32','0','401','0','0','0','0','1','-32512','0'
'28113','784','32','0','401','0','0','0','0','1','-32512','0'
'28113','851','32','0','770','0','0','0','0','1','-32512','0'
'28113','900','32','0','2','0','0','0','0','1','-32512','0'
'28113','901','32','0','2','0','0','0','0','1','-32512','0'
'28113','909','32','0','909','0','0','0','0','1','-32512','0'
'28113','960','32','0','909','0','0','0','0','1','-32512','0'
'28113','961','32','0','909','0','0','0','0','1','-32512','0'
'28113','979','32','0','770','0','0','0','0','1','-32512','0'
'28113','980','32','0','9','0','0','0','0','1','-32512','0'
'28113','990','32','0','50','1','0','0','0','1','-32512','0'
'28113','1211','32','0','121','0','0','0','0','1','-32512','0'
'28113','1212','32','0','2','0','0','0','0','0','-32512','0'
'28113','1213','32','0','2','0','0','0','0','1','-32512','0'
'28113','1218','32','0','9','0','0','0','0','1','-32512','0'
'28113','1219','32','0','9','0','0','0','0','1','-32512','0'
