'28113','9','3','1','0','0','2','7','0',NULL,'0'
'28113','9','5','1','0','0','2','7','0',NULL,'0'
'28113','9','6','1','0','0','2','7','1',NULL,'0'
'28113','9','7','1','0','0','2','7','1',NULL,'0'
'28113','9','8','1','0','0','2','7','1',NULL,'0'
'28113','9','9','1','0','0','2','7','1',NULL,'0'
'28113','9','15','1','0','0','2','7','1',NULL,'0'
'28113','9','16','1','0','0','2','7','1',NULL,'0'
'28113','14','2','1','0','0','2','7','1',NULL,'0'
'28113','14','3','1','0','0','2','7','0',NULL,'0'
'28113','14','4','1','0','0','2','7','1',NULL,'0'
'28113','14','5','1','0','0','2','7','1',NULL,'0'
'28113','14','6','1','0','0','2','7','1',NULL,'0'
'28113','14','7','1','0','0','2','7','1',NULL,'0'
'28113','14','8','1','0','0','2','7','1',NULL,'0'
'28113','14','9','1','0','0','2','7','1',NULL,'0'
'28113','14','11','1','0','0','2','7','1',NULL,'0'
'28113','14','16','1','0','0','2','7','0',NULL,'0'
