'28113','0','0','0'
'28113','1','1','1'
'28113','1','2','2'
'28113','1','3','3'
'28113','3','1','4'
'28113','3','2','5'
'28113','3','3','6'
'28113','2','1','7'
'28113','2','2','8'
'28113','2','3','9'
'28113','4','4','10'
'28113','5','4','11'
'28113','4','6','12'
'28113','4','7','13'
'28113','6','1','14'
'28113','6','2','15'
'28113','6','3','16'
'28113','7','1','17'
'28113','7','2','18'
'28113','7','3','19'
