'28113','1','-1','-1',NULL,'-1','5','5',NULL
'28113','2','-1','-1',NULL,'-1','3','3',NULL
'28113','2','-1','1','...+49840','0','3','3',NULL
'28113','3','-1','-1',NULL,'-1','5','5',NULL
'28113','3','-1','1','.....+3395','0','5','5',NULL
'28113','4','-1','-1',NULL,'-1','10','10',NULL
'28113','4','-1','1','X','0','10','10',NULL
'28113','5','-1','-1',NULL,'-1','5','5',NULL
'28113','5','-1','1','.....+3022','0','5','5',NULL
'28113','7','-1','-1',NULL,'-1','5','5',NULL
'28113','7','-1','1','+049','0','5','5',NULL
'28113','8','-1','-1',NULL,'-1','11','11',NULL
'28113','8','-1','1','.','2','11','11',NULL
'28113','9','-1','-1',NULL,'-1','7','7',NULL
'28113','9','0','1','.','4','7','7',NULL
'28113','9','4','1','.','4','7','7',NULL
'28113','10','-1','-1',NULL,'-1','12','12',NULL
'28113','10','-1','1','..','2','12','12',NULL
'28113','11','-1','-1',NULL,'-1','5','5',NULL
'28113','11','-1','1','....','1','5','5',NULL
'28113','12','-1','-1',NULL,'-1','4','4',NULL
'28113','12','-1','1','...','1','4','4',NULL
'28113','13','-1','-1',NULL,'-1','5','5',NULL
'28113','13','-1','1','.+29','0','5','5',NULL
'28113','38','-1','-1',NULL,'-1','13','13',NULL
'28113','55','-1','-1',NULL,'-1','5','5',NULL
'28113','55','-1','1','+049','0','5','5',NULL
'28113','58','-1','-1',NULL,'-1','5','5',NULL
'28113','58','-1','1','..','0','5','5',NULL
'28113','60','-1','-1',NULL,'-1','8','8',NULL
'28113','61','-1','-1',NULL,'-1','5','5',NULL
'28113','66','-1','-1',NULL,'-1','5','5',NULL
'28113','66','-1','1','+49','0','5','5',NULL
'28113','67','-1','-1',NULL,'-1','5','5',NULL
'28113','69','-1','-1',NULL,'-1','5','5',NULL
'28113','69','-1','1','+0849','0','5','5',NULL
'28113','70','-1','-1',NULL,'-1','5','5',NULL
'28113','70','-1','1','+49','0','5','5',NULL
'28113','73','-1','-1',NULL,'-1','5','5',NULL
'28113','73','-1','1','+049','0','5','5',NULL
'28113','74','-1','-1',NULL,'-1','5','5',NULL
'28113','74','-1','1','+049','0','5','5',NULL
'28113','115','-1','-1',NULL,'-1','3','3',NULL
'28113','115','-1','1','...+04975040','0','3','3',NULL
'28113','121','-1','-1',NULL,'-1','3','3',NULL
'28113','292','-1','-1',NULL,'-1','5','5',NULL
'28113','303','-1','-1',NULL,'-1','15','15',NULL
'28113','455','-1','-1',NULL,'-1','8','8',NULL
'28113','460','-1','-1',NULL,'-1','8','8',NULL
'28113','461','-1','-1',NULL,'-1','8','8',NULL
'28113','464','-1','-1',NULL,'-1','8','8',NULL
'28113','465','-1','-1',NULL,'-1','8','8',NULL
'28113','466','-1','-1',NULL,'-1','8','8',NULL
'28113','467','-1','-1',NULL,'-1','8','8',NULL
'28113','469','-1','-1',NULL,'-1','8','8',NULL
'28113','470','-1','-1',NULL,'-1','8','8',NULL
'28113','470','-1','1','.','0','8','8',NULL
'28113','473','-1','-1',NULL,'-1','8','8',NULL
'28113','475','-1','-1',NULL,'-1','8','8',NULL
'28113','477','-1','-1',NULL,'-1','8','8',NULL
'28113','478','-1','-1',NULL,'-1','8','8',NULL
'28113','492','-1','-1',NULL,'-1','8','8',NULL
'28113','493','-1','-1',NULL,'-1','8','8',NULL
'28113','500','-1','-1',NULL,'-1','8','8',NULL
'28113','501','-1','-1',NULL,'-1','8','8',NULL
'28113','505','-1','-1',NULL,'-1','5','5',NULL
'28113','505','-1','1','.....+064712202','4','5','5',NULL
'28113','506','-1','-1',NULL,'-1','5','5',NULL
'28113','506','-1','1','.....+05045121','4','5','5',NULL
'28113','529','-1','-1',NULL,'-1','5','5',NULL
'28113','529','-1','1','.....+05045131','4','5','5',NULL
'28113','600','-1','-1',NULL,'-1','5','5',NULL
'28113','600','-1','1','+049','0','5','5',NULL
'28113','601','-1','-1',NULL,'-1','5','5',NULL
