'28113','0','0','0','4'
'28113','1','20','1','0'
'28113','2','20','1','0'
'28113','3','19','1','0'
'28113','4','19','1','0'
'28113','5','9','1','0'
'28113','6','9','1','0'
'28113','7','7','1','0'
'28113','8','7','1','0'
'28113','9','5','1','0'
'28113','10','4','1','0'
'28113','11','17','1','1'
'28113','12','17','1','1'
'28113','13','17','1','1'
'28113','14','5','1','0'
'28113','15','4','1','0'
'28113','16','10','1','0'
'28113','17','10','1','0'
'28113','18','7','1','0'
