'28113','83852262188','83852262288','0','0','71','62288','0','0','0','1','1','0','0','0','0','0','0','70'
'28113','83852262288','83852263003','0','0','35','63003','0','0','0','1','1','0','0','0','0','0','0','71'
'28113','83852262402','83852262188','0','0','70','62188','0','0','0','1','1','0','0','0','0','0','0','25'
'28113','83852262402','83852262288','0','0','71','62288','0','0','0','1','1','0','0','0','0','0','0','25'
'28113','83852262402','83852263161','0','0','23','63161','0','0','0','1','1','0','0','0','0','0','0','25'
'28113','83852263003','83852262100','0','13','13','62100','0','0','0','1','1','0','0','0','0','0','0','35'
'28113','83852263003','83852262140','0','0','13','62140','0','0','0','1','1','0','0','0','0','0','0','35'
'28113','83852263003','83852262208','0','12','35','62208','0','0','0','1','1','0','0','0','0','0','0','35'
'28113','83852263003','83852262214','0','12','87','62214','0','0','0','1','1','0','0','0','0','0','0','35'
'28113','83852263003','83852262220','0','0','50','62220','0','0','0','1','1','0','0','0','0','0','0','35'
'28113','83852263003','83852262230','0','11','939','62230','0','0','0','1','1','0','0','0','0','0','0','35'
'28113','83852263003','83852262240','0','11','457','62240','0','0','0','1','1','0','0','0','0','0','0','35'
'28113','83852263003','83852262281','0','13','229','62281','0','0','0','1','1','0','0','0','0','0','0','35'
'28113','83852263003','83852262288','0','0','71','62288','0','0','0','1','1','0','0','0','0','0','0','35'
'28113','83852263003','83852262363','0','13','204','62363','0','0','0','1','1','0','0','0','0','0','0','35'
'28113','83852263003','83852262570','0','0','45','62570','0','0','0','1','1','0','0','0','0','0','0','35'
'28113','83852263003','83852263124','0','0','4','63124','0','0','0','1','1','0','0','0','0','0','0','35'
'28113','83852263003','83852263161','0','0','23','63161','0','0','0','1','1','0','0','0','0','0','0','35'
'28113','83852263003','83852263230','0','11','1038','63230','0','0','0','1','1','0','0','0','0','0','0','35'
'28113','83852263003','83852263300','0','0','78','63300','0','0','0','1','1','0','0','0','0','0','0','35'
'28113','83852263003','83852263301','0','13','334','63301','0','0','0','1','1','0','0','0','0','0','0','35'
'28113','83852263003','83852263302','0','0','52','63302','0','0','0','1','1','0','0','0','0','0','0','35'
'28113','83852263003','83852263303','0','0','37','63303','0','0','0','1','1','0','0','0','0','0','0','35'
'28113','83852263003','83852263304','0','0','17','63304','0','0','0','1','1','0','0','0','0','0','0','35'
'28113','83852263003','83852263307','0','13','62','63307','0','0','0','1','1','0','0','0','0','0','0','35'
'28113','83852263003','83852263309','0','0','5','63309','0','0','0','1','1','0','0','0','0','0','0','35'
