'28113','1','ama.cdr','/opt/si2000/neroot/charging/working','/opt/si2000/neroot/charging/transfer','$(NODE)$(DATE)$(TIME)$(INDEX,2).ama','0','1','1',NULL,NULL,'2','1'
'28113','2','performance.cdr','/opt/si2000/neroot/files/performance/working','/opt/si2000/neroot/files/performance/cdr','$(NODE)$(DATE)$(HOUR)$(MIN)$(INDEX,2)','512','2','1',NULL,NULL,NULL,'2'
'28113','3','mob.cdr','/opt/si2000/neroot/files/mob/working','/opt/si2000/neroot/files/mob/cdr','$(NODE)_$(DATE)$(TIME)_mob_$(INDEX,3).$(SUFFIX)','768','3','1',NULL,NULL,NULL,'3'
'28113','4','centrex.cdr','/opt/si2000/neroot/charging/working','/opt/si2000/neroot/charging/centrex','$(NODE)cdr.$(INDEX,3)','256','4','1',NULL,NULL,NULL,'4'
'28113','5','v5ama.cdr','/opt/si2000/neroot/charging/working','/opt/si2000/neroot/charging/v5transfer','$(NODE)cdr.$(INDEX,3)','512','5','1',NULL,NULL,NULL,'5'
'28113','6','archive','/opt/si2000/neroot/charging/archive','/opt/si2000/neroot/charging/archive','archive','1536',NULL,NULL,NULL,NULL,NULL,'6'
'28113','7','iacama.cdr','/opt/si2000/neroot/charging/working','/opt/si2000/neroot/charging/iacama','$(NODE)$(DATE)$(TIME)$(INDEX,2).si3000iacama','0','10','1',NULL,NULL,NULL,'7'
'28113','8','onlinecdrbkp.cdr','/opt/si2000/neroot/charging/working','/opt/si2000/neroot/charging/onlinecdrbkp','$(NODE)$(DATE)$(TIME)$(INDEX,2).cdr','0','11','1',NULL,NULL,NULL,'8'
'28113','9','onlineacctbkp.cdr','/opt/si2000/neroot/charging/working','/opt/si2000/neroot/charging/onlineacctbkp','$(NODE)$(DATE)$(TIME)$(INDEX,2).acc','0','12','1',NULL,NULL,NULL,'9'
'28113','10','source1460946824696.cdr','/opt/si2000/neroot/charging/working','/opt/si2000/neroot/charging/cdr_txt','$(NODE)v2$(DATE)$(TIME)$(INDEX,2).xml','0','14','3',NULL,NULL,'3','1'
